dataset,feature,outlier_count,outlier_percentage
Android,ACCESS_PERSONAL_INFO___,1196,10.312122779789618
Android,FS_ACCESS(CREATE__READ__WRITE),1195,10.303500603552337
Android,relayout,1192,10.27763407484049
Android,shutdown,1185,10.217278841179514
Android,remove,1153,9.94136920158648
Android,NETWORK_ACCESS(WRITE__)__,1151,9.924124849111916
Android,getpriority,1146,9.881013967925504
Android,getInstallerPackageName,1128,9.725814795654424
Android,FS_ACCESS(CREATE__WRITE__APPEND),1111,9.579237799620625
Android,getCellLocation,1109,9.56199344714606
Android,pipe,1083,9.33781686497672
Android,sigaltstack,1070,9.22572857389205
Android,getActivePhoneType,1042,8.984307639248145
Android,madvise,1037,8.941196758061736
Android,futex,1031,8.889463700638041
Android,registerContentObserver,1021,8.803241938265218
Android,FS_PIPE_ACCESS(WRITE)___,1008,8.691153647180547
Android,getActivityInfo,1004,8.65666494223142
Android,isAdminActive,980,8.449732712536644
Android,write,975,8.406621831350233
Android,close,975,8.406621831350233
Android,FS_PIPE_ACCESS(READ__)_,961,8.285911364028282
Android,finishDrawing,953,8.216933954130022
Android,onRectangleOnScreenRequested,882,7.6047594412829795
Android,__arm_nr_set_tls,875,7.544404207622003
Android,dup,867,7.475426797723745
Android,open,838,7.22538368684256
Android,queryIntentActivities,818,7.052940162096913
Android,getAllNetworkInfo,804,6.932229694774961
Android,clone,802,6.914985342300397
Android,CREATE_THREAD_____,802,6.914985342300397
Android,recvfrom,800,6.897740989825832
Android,getServiceInfo,785,6.7684083462665985
Android,queryIntentServices,764,6.58734264528367
Android,brk,762,6.570098292809106
Android,getReceiverInfo,761,6.561476116571822
Android,setpriority,757,6.526987411622693
Android,sigprocmask,754,6.501120882910846
Android,uname,726,6.2596999482669435
Android,getLastLocation,701,6.044145542334886
Android,fstat64,682,5.880324193826522
Android,epoll_ctl,681,5.871702017589239
Android,getSpellCheckerService,674,5.811346783928263
Android,releaseWakeLock,671,5.785480255216417
Android,getCurrentSpellChecker,670,5.776858078979134
Android,ugetrlimit,669,5.768235902741852
Android,windowGainedFocus,652,5.621658906708054
Android,isScreenOn,639,5.5095706156233835
Android,getdents64,639,5.5095706156233835
Android,addAccessibilityInteractionConnection,635,5.4750819106742545
Android,checkOperation,583,5.026728746335575
Android,enqueueToast,573,4.940506983962752
Android,setTextBeforeCursor,573,4.940506983962752
Android,addToDisplayWithoutInputChannel,541,4.664597344369719
Android,performDeferredDestroy,541,4.664597344369719
Android,addToDisplay,540,4.655975168132437
Android,ftruncate64,536,4.621486463183308
Android,getWifiEnabledState,535,4.612864286946025
Android,resolveIntent,509,4.388687704776686
Android,resolveContentProvider,505,4.354198999827556
Android,NETWORK_ACCESS____,502,4.32833247111571
Android,setTransparentRegion,446,3.8454906018279016
Android,setMode,438,3.7765131919296433
Android,gettid,430,3.7075357820313846
Android,getInstalledApplications,423,3.6471805483704087
Android,finishInput,389,3.354026556302811
Android,requestLocationUpdates,380,3.2764269701672704
Android,sched_getscheduler,356,3.069494740472495
Android,sched_getparam,356,3.069494740472495
Android,getApplicationRestrictions,346,2.9832729780996723
Android,vfork,345,2.9746508018623903
Android,unregisterContentObserver,339,2.9229177444386965
Android,setTextAfterCursor,327,2.819451629591309
Android,cancelNotificationWithTag,322,2.7763407484048974
Android,isProviderEnabled,296,2.5521641662355576
Android,queryIntentReceivers,289,2.491808932574582
Android,checkPackage,289,2.491808932574582
Android,hasSystemFeature,288,2.4831867563372994
Android,getRingerMode,275,2.3710984652526297
Android,FS_ACCESS(CREATE__APPEND)__,274,2.3624762890153477
Android,getMode,272,2.3452319365407828
Android,enqueueNotificationWithTag,241,2.0779444731850316
Android,SMS_SEND____,232,2.0003448870494913
Android,sendText,229,1.9744783583376442
Android,setWifiEnabled,224,1.931367477151233
Android,sysinfo,217,1.8710122434902567
Android,getPackagesForUid,211,1.8192791860665631
Android,setresuid32,207,1.784790481117434
Android,isImsSmsSupported,206,1.776168304880152
Android,getBestProvider,204,1.758923952405587
Android,setresgid32,200,1.724435247456458
Android,setMobileDataEnabled,200,1.724435247456458
Android,getProxy,200,1.724435247456458
Android,registerCallback,199,1.7158130712191757
Android,setrlimit,199,1.7158130712191757
Android,setgroups32,198,1.7071908949818935
Android,capset,198,1.7071908949818935
Android,isActiveNetworkMetered,189,1.6295913088463527
Android,rmdir,188,1.6209691326090705
Android,isSpeakerphoneOn,181,1.5606138989480944
Android,getStreamMaxVolume,154,1.3278151405414726
Android,getcwd,146,1.2588377306432144
Android,getAccountsAsUser,144,1.2415933781686497
Android,getppid,143,1.2329712019313674
Android,getAccounts,131,1.12950508708398
Android,resolveService,130,1.1208829108466978
Android,getNumberOfCameras,128,1.103638558372133
Android,locationCallbackFinished,127,1.0950163821348509
Android,chdir,126,1.0863942058975684
Android,inotify_init,123,1.0605276771857217
Android,notifyChange,122,1.0519055009484393
Android,getNeighboringCellInfo,121,1.0432833247111573
Android,inotify_add_watch,121,1.0432833247111573
Android,getNightMode,120,1.0346611484738748
Android,inKeyguardRestrictedInputMode,118,1.0174167959993101
Android,setRingerMode,114,0.9829280910501811
Android,getpgid,114,0.9829280910501811
Android,getAppWidgetIds,113,0.9743059148128989
Android,FS_PIPE_ACCESS(READ__WRITE)_,108,0.9311950336264873
Android,getComponentEnabledSetting,106,0.9139506811519227
Android,getDeviceSvn,106,0.9139506811519227
Android,getDisplayFrame,105,0.9053285049146406
Android,cancelAllNotifications,104,0.8967063286773581
Android,epoll_create,104,0.8967063286773581
Android,statusBarVisibilityChanged,100,0.862217623728229
Android,setIconVisibility,100,0.862217623728229
Android,getUsers,100,0.862217623728229
Android,getUserIcon,100,0.862217623728229
Android,getMobileDataEnabled,100,0.862217623728229
Android,getDeviceOwner,99,0.8535954474909467
Android,utimes,94,0.8104845663045352
Android,onGetSentenceSuggestionsMultiple,93,0.801862390067253
Android,isCameraSoundForced,89,0.7673736851181238
Android,getCameraInfo,88,0.7587515088808415
Android,getSearchableInfo,87,0.7501293326435592
Android,mremap,85,0.7328849801689946
Android,getWallpaper,83,0.71564062769443
Android,getWidthHint,83,0.71564062769443
Android,getrusage,83,0.71564062769443
Android,getHeightHint,82,0.7070184514571478
Android,sigsuspend,75,0.6466632177961718
Android,getProviders,74,0.6380410415588894
Android,getAllProviders,69,0.594930160372478
Android,getVoiceMailNumber,68,0.5863079841351957
Android,updateSelection,68,0.5863079841351957
Android,getEnabledAccessibilityServiceList,65,0.5604414554233489
Android,getScanResults,65,0.5604414554233489
Android,ptrace,60,0.5173305742369374
Android,hideSoftInput,60,0.5173305742369374
Android,ANTI_DEBUG_____,59,0.5087083979996551
Android,displayCompletions,51,0.43973098810139677
Android,rt_sigtimedwait,51,0.43973098810139677
Android,disconnect,51,0.43973098810139677
Android,releaseWifiLock,47,0.4052422831522676
Android,getDisplayIds,42,0.3621314019658562
Android,inotify_rm_watch,42,0.3621314019658562
Android,getEnabledInputMethodList,40,0.34488704949129156
Android,listen,39,0.3362648732540093
Android,getCallState,39,0.3362648732540093
Android,notifyAppWidgetViewDataChanged,37,0.3190205207794447
Android,onClose,36,0.3103983445421624
Android,finishSpellCheckerService,36,0.3103983445421624
Android,sync,33,0.28453181583031556
Android,getSystemAvailableFeatures,31,0.267287463355751
Android,getEnabledInputMethodSubtypeList,31,0.267287463355751
Android,showStrictModeViolation,30,0.2586652871184687
Android,getWifiDisplayStatus,30,0.2586652871184687
Android,umask,30,0.2586652871184687
Android,isBluetoothA2dpOn,29,0.2500431108811864
Android,getDataState,29,0.2500431108811864
Android,startWatchingRoutes,29,0.2500431108811864
Android,getState,29,0.2500431108811864
Android,getpeername,29,0.2500431108811864
Android,setDiscoveryRequest,29,0.2500431108811864
Android,setCallback,28,0.24142093464390413
Android,getAllCellInfo,28,0.24142093464390413
Android,getClientDefaultLanguage,27,0.23279875840662181
Android,getPermissionInfo,25,0.21555440593205724
Android,pipe2,25,0.21555440593205724
Android,getMobileIfaces,25,0.21555440593205724
Android,getFromLocation,24,0.20693222969477496
Android,accept,22,0.18968787722021038
Android,setStreamVolume,22,0.18968787722021038
Android,getCurrentModeType,21,0.1810657009829281
Android,removeAccessibilityInteractionConnection,20,0.17244352474564578
Android,showSoftInput,19,0.1638213485083635
Android,setStreamMute,18,0.1551991722710812
Android,registerMediaButtonIntent,17,0.14657699603379892
Android,toggleSoftInput,16,0.13795481979651664
Android,getApplicationEnabledSetting,15,0.12933264355923435
Android,removeGpsStatusListener,15,0.12933264355923435
Android,checkSignatures,15,0.12933264355923435
Android,addAccountExplicitly,14,0.12071046732195206
Android,updateAppWidgetProvider,13,0.11208829108466976
Android,vibrate,13,0.11208829108466976
Android,NETWORK_ACCESS(READ)____,13,0.11208829108466976
Android,getWallpaperInfo,13,0.11208829108466976
Android,startScan,13,0.11208829108466976
Android,setSyncAutomatically,12,0.10346611484738748
Android,registerRemoteControlClient,12,0.10346611484738748
Android,getInputMethodList,12,0.10346611484738748
Android,rt_sigprocmask,11,0.09484393861010519
Android,dataChanged,11,0.09484393861010519
Android,getString,11,0.09484393861010519
Android,getPackageSizeInfo,11,0.09484393861010519
Android,getProviderProperties,11,0.09484393861010519
Android,setitimer,11,0.09484393861010519
Android,getProviderInfo,11,0.09484393861010519
Android,getUserSerialNumber,10,0.08622176237282289
Android,hasKeys,10,0.08622176237282289
Android,setsid,10,0.08622176237282289
Android,setIsSyncable,10,0.08622176237282289
Android,getConfiguredNetworks,10,0.08622176237282289
Android,getPrimaryClip,10,0.08622176237282289
Android,deleteHost,10,0.08622176237282289
Android,getStorageEncryptionStatus,10,0.08622176237282289
Android,ALTER_PHONE_STATE___,9,0.0775995861355406
Android,addPeriodicSync,9,0.0775995861355406
Android,sched_get_priority_max,9,0.0775995861355406
Android,sched_get_priority_min,9,0.0775995861355406
Android,stop,9,0.0775995861355406
Android,updateServiceLocation,9,0.0775995861355406
Android,FS_PIPE_ACCESS()___,8,0.06897740989825832
Android,reenableKeyguard,8,0.06897740989825832
Android,mknod,8,0.06897740989825832
Android,setDimensionHints,8,0.06897740989825832
Android,onFinished,8,0.06897740989825832
Android,hasPrimaryClip,8,0.06897740989825832
Android,sched_setscheduler,8,0.06897740989825832
Android,watchRotation,8,0.06897740989825832
Android,getRingtonePlayer,8,0.06897740989825832
Android,vibratePattern,7,0.06035523366097603
Android,getSystemSharedLibraryNames,7,0.06035523366097603
Android,getWifiApEnabledState,7,0.06035523366097603
Android,clock_getres,7,0.06035523366097603
Android,queryIntentContentProviders,7,0.06035523366097603
Android,requestScanFile,7,0.06035523366097603
Android,onResult,7,0.06035523366097603
Android,isSafeMode,7,0.06035523366097603
Android,getMasterSyncAutomatically,7,0.06035523366097603
Android,isScanAlwaysAvailable,7,0.06035523366097603
Android,mlock,7,0.06035523366097603
Android,getInstalledProviders,6,0.05173305742369374
Android,onRequestContinued,6,0.05173305742369374
Android,munlock,6,0.05173305742369374
Android,getInputDevice,6,0.05173305742369374
Android,setWallpaperPosition,5,0.043110881186411446
Android,getDhcpInfo,5,0.043110881186411446
Android,geteuid32,5,0.043110881186411446
Android,eventfd2,5,0.043110881186411446
Android,currentToCanonicalPackageNames,5,0.043110881186411446
Android,getPackageGids,5,0.043110881186411446
Android,addWithoutInputChannel,5,0.043110881186411446
Android,isKeyguardLocked,5,0.043110881186411446
Android,geocoderIsPresent,5,0.043110881186411446
Android,prepareVpn,5,0.043110881186411446
Android,setWallpaper,5,0.043110881186411446
Android,getNameForUid,5,0.043110881186411446
Android,cancelToast,4,0.03448870494912916
Android,isBluetoothScoOn,4,0.03448870494912916
Android,cancelVibrate,4,0.03448870494912916
Android,getVibrateSetting,4,0.03448870494912916
Android,updateAppWidgetIds,4,0.03448870494912916
Android,getUserRestrictions,4,0.03448870494912916
Android,getActiveAdmins,4,0.03448870494912916
Android,getPreferredPackages,4,0.03448870494912916
Android,hasVibrator,3,0.02586652871184687
Android,getVoiceMailAlphaTag,3,0.02586652871184687
Android,setgid32,3,0.02586652871184687
Android,getLastChosenActivity,3,0.02586652871184687
Android,getPreferredActivities,3,0.02586652871184687
Android,sendMultipartText,3,0.02586652871184687
Android,setApplicationEnabledSetting,3,0.02586652871184687
Android,setExtractedText,3,0.02586652871184687
Android,getGlobalSearchActivity,3,0.02586652871184687
Android,playSoundEffect,3,0.02586652871184687
Android,getMessenger,3,0.02586652871184687
Android,releaseMulticastLock,3,0.02586652871184687
Android,setuid32,3,0.02586652871184687
Android,queryContentProviders,3,0.02586652871184687
Android,symlink,3,0.02586652871184687
Android,stopListening,3,0.02586652871184687
Android,removeActiveAdmin,2,0.01724435247456458
Android,unregisterMediaButtonIntent,2,0.01724435247456458
Android,truncate,2,0.01724435247456458
Android,NETWORK_ACCESS(READ__WRITE__),2,0.01724435247456458
Android,getFlashlightEnabled,2,0.01724435247456458
Android,setPlaybackStateForRcc,2,0.01724435247456458
Android,beginRestoreSession,2,0.01724435247456458
Android,attachEngine,2,0.01724435247456458
Android,getgroups32,2,0.01724435247456458
Android,getDeviceList,2,0.01724435247456458
Android,isKeyguardSecure,2,0.01724435247456458
Android,endRestoreSession,2,0.01724435247456458
Android,isWakeLockLevelSupported,2,0.01724435247456458
Android,setSpeakerphoneOn,2,0.01724435247456458
Android,collapsePanels,2,0.01724435247456458
Android,setFlashlightEnabled,2,0.01724435247456458
Android,getLong,2,0.01724435247456458
Android,restorePackage,2,0.01724435247456458
Android,link,2,0.01724435247456458
Android,play,2,0.01724435247456458
Android,getTetheredIfaces,2,0.01724435247456458
Android,getUserData,2,0.01724435247456458
Android,addStatusChangeListener,2,0.01724435247456458
Android,setWifiApEnabled,2,0.01724435247456458
Android,getBoolean,2,0.01724435247456458
Android,getAuthenticatorTypes,2,0.01724435247456458
Android,getNetworkPreference,2,0.01724435247456458
Android,unregisterRemoteControlClient,1,0.00862217623728229
Android,setTransportControlInfo,1,0.00862217623728229
Android,startBluetoothSco,1,0.00862217623728229
Android,startWifiDisplayScan,1,0.00862217623728229
Android,FS_ACCESS(READ__WRITE)__,1,0.00862217623728229
Android,timer_settime,1,0.00862217623728229
Android,timer_create,1,0.00862217623728229
Android,stopUsingNetworkFeature,1,0.00862217623728229
Android,socketpair,1,0.00862217623728229
Android,getInstallLocation,1,0.00862217623728229
Android,fstatfs64,1,0.00862217623728229
Android,sendExtraCommand,1,0.00862217623728229
Android,removePrimaryClipChangedListener,1,0.00862217623728229
Android,reassociate,1,0.00862217623728229
Android,removeStatusChangeListener,1,0.00862217623728229
Android,partiallyUpdateAppWidgetIds,1,0.00862217623728229
Android,sched_setaffinity,1,0.00862217623728229
Android,lgetxattr,1,0.00862217623728229
Android,setMetadata,1,0.00862217623728229
Android,getLastInputMethodSubtype,1,0.00862217623728229
Android,cancelSync,1,0.00862217623728229
Android,mount,1,0.00862217623728229
Android,getIsSyncable,1,0.00862217623728229
Android,playSoundEffectVolume,1,0.00862217623728229
Android,pingSupplicant,1,0.00862217623728229
Android,getPassword,1,0.00862217623728229
Android,getPermissionGroupInfo,1,0.00862217623728229
Android,isPackageAvailable,1,0.00862217623728229
Android,getresgid32,1,0.00862217623728229
Android,getDataActivity,1,0.00862217623728229
Android,getCurrentInputMethodSubtype,1,0.00862217623728229
Android,isSyncActive,1,0.00862217623728229
Android,setRadio,1,0.00862217623728229
Android,onChange,1,0.00862217623728229
Android,engineShown,1,0.00862217623728229
Android,chown32,1,0.00862217623728229
Android,add,1,0.00862217623728229
Android,setNightMode,1,0.00862217623728229
Android,setNetworkPreference,1,0.00862217623728229
Android,setPlaybackState,1,0.00862217623728229
Android,setPrimaryClip,1,0.00862217623728229
Android,hasIccCard,1,0.00862217623728229
Android,hasNamedWallpaper,1,0.00862217623728229
Android,getWifiApConfiguration,1,0.00862217623728229
Android,getegid32,1,0.00862217623728229
Android,getgid32,1,0.00862217623728229
Android,getSyncAutomatically,1,0.00862217623728229
Android,getresuid32,1,0.00862217623728229
Android,hasClipboardText,1,0.00862217623728229
Android,getSearchablesInGlobalSearch,1,0.00862217623728229
Android,faccessat,1,0.00862217623728229
Android,fcntl,1,0.00862217623728229
Android,setWifiApConfiguration,1,0.00862217623728229
Android,getCameraDisabled,1,0.00862217623728229
Android,getAppWidgetInfo,1,0.00862217623728229
Android,getAnimationScale,1,0.00862217623728229
Android,getAllPkgUsageStats,1,0.00862217623728229
Android,registerInputDevicesChangedListener,0,0.0
Android,openSession,0,0.0
Android,getInputDeviceIds,0,0.0
