dataset,attack_type,poisoning_rate,defense,seed
MalMem,gaussian_noise_injection,0.1,E1_No_Defense,42
MalMem,gaussian_noise_injection,0.1,E1_No_Defense,123
MalMem,gaussian_noise_injection,0.1,E1_No_Defense,2026
MalMem,gaussian_noise_injection,0.1,E2_Integrity_Only,42
MalMem,gaussian_noise_injection,0.1,E2_Integrity_Only,123
MalMem,gaussian_noise_injection,0.1,E2_Integrity_Only,2026
MalMem,gaussian_noise_injection,0.1,E3_Anomaly_Only,42
MalMem,gaussian_noise_injection,0.1,E3_Anomaly_Only,123
MalMem,gaussian_noise_injection,0.1,E3_Anomaly_Only,2026
MalMem,gaussian_noise_injection,0.1,E4_PoisonShield,42
MalMem,gaussian_noise_injection,0.1,E4_PoisonShield,123
MalMem,gaussian_noise_injection,0.1,E4_PoisonShield,2026
MalMem,gaussian_noise_injection,0.2,E1_No_Defense,42
MalMem,gaussian_noise_injection,0.2,E1_No_Defense,123
MalMem,gaussian_noise_injection,0.2,E1_No_Defense,2026
MalMem,gaussian_noise_injection,0.2,E2_Integrity_Only,42
MalMem,gaussian_noise_injection,0.2,E2_Integrity_Only,123
MalMem,gaussian_noise_injection,0.2,E2_Integrity_Only,2026
MalMem,gaussian_noise_injection,0.2,E3_Anomaly_Only,42
MalMem,gaussian_noise_injection,0.2,E3_Anomaly_Only,123
MalMem,gaussian_noise_injection,0.2,E3_Anomaly_Only,2026
MalMem,gaussian_noise_injection,0.2,E4_PoisonShield,42
MalMem,gaussian_noise_injection,0.2,E4_PoisonShield,123
MalMem,gaussian_noise_injection,0.2,E4_PoisonShield,2026
MalMem,label_flipping,0.01,E1_No_Defense,42
MalMem,label_flipping,0.01,E1_No_Defense,123
MalMem,label_flipping,0.01,E1_No_Defense,2026
MalMem,label_flipping,0.01,E2_Integrity_Only,42
MalMem,label_flipping,0.01,E2_Integrity_Only,123
MalMem,label_flipping,0.01,E2_Integrity_Only,2026
MalMem,label_flipping,0.01,E3_Anomaly_Only,42
MalMem,label_flipping,0.01,E3_Anomaly_Only,123
MalMem,label_flipping,0.01,E3_Anomaly_Only,2026
MalMem,label_flipping,0.01,E4_PoisonShield,42
MalMem,label_flipping,0.01,E4_PoisonShield,123
MalMem,label_flipping,0.01,E4_PoisonShield,2026
MalMem,label_flipping,0.05,E1_No_Defense,42
MalMem,label_flipping,0.05,E1_No_Defense,123
MalMem,label_flipping,0.05,E1_No_Defense,2026
MalMem,label_flipping,0.05,E2_Integrity_Only,42
MalMem,label_flipping,0.05,E2_Integrity_Only,123
MalMem,label_flipping,0.05,E2_Integrity_Only,2026
MalMem,label_flipping,0.05,E3_Anomaly_Only,42
MalMem,label_flipping,0.05,E3_Anomaly_Only,123
MalMem,label_flipping,0.05,E3_Anomaly_Only,2026
MalMem,label_flipping,0.05,E4_PoisonShield,42
MalMem,label_flipping,0.05,E4_PoisonShield,123
MalMem,label_flipping,0.05,E4_PoisonShield,2026
MalMem,label_flipping,0.1,E1_No_Defense,42
MalMem,label_flipping,0.1,E1_No_Defense,123
MalMem,label_flipping,0.1,E1_No_Defense,2026
MalMem,label_flipping,0.1,E2_Integrity_Only,42
MalMem,label_flipping,0.1,E2_Integrity_Only,123
MalMem,label_flipping,0.1,E2_Integrity_Only,2026
MalMem,label_flipping,0.1,E3_Anomaly_Only,42
MalMem,label_flipping,0.1,E3_Anomaly_Only,123
MalMem,label_flipping,0.1,E3_Anomaly_Only,2026
MalMem,label_flipping,0.1,E4_PoisonShield,42
MalMem,label_flipping,0.1,E4_PoisonShield,123
MalMem,label_flipping,0.1,E4_PoisonShield,2026
MalMem,label_flipping,0.2,E1_No_Defense,42
MalMem,label_flipping,0.2,E1_No_Defense,123
MalMem,label_flipping,0.2,E1_No_Defense,2026
MalMem,label_flipping,0.2,E2_Integrity_Only,42
MalMem,label_flipping,0.2,E2_Integrity_Only,123
MalMem,label_flipping,0.2,E2_Integrity_Only,2026
MalMem,label_flipping,0.2,E3_Anomaly_Only,42
MalMem,label_flipping,0.2,E3_Anomaly_Only,123
MalMem,label_flipping,0.2,E3_Anomaly_Only,2026
MalMem,label_flipping,0.2,E4_PoisonShield,42
MalMem,label_flipping,0.2,E4_PoisonShield,123
MalMem,label_flipping,0.2,E4_PoisonShield,2026
MalMem,feature_poisoning,0.01,E1_No_Defense,42
MalMem,feature_poisoning,0.01,E1_No_Defense,123
MalMem,feature_poisoning,0.01,E1_No_Defense,2026
MalMem,feature_poisoning,0.01,E2_Integrity_Only,42
MalMem,feature_poisoning,0.01,E2_Integrity_Only,123
MalMem,feature_poisoning,0.01,E2_Integrity_Only,2026
MalMem,feature_poisoning,0.01,E3_Anomaly_Only,42
MalMem,feature_poisoning,0.01,E3_Anomaly_Only,123
MalMem,feature_poisoning,0.01,E3_Anomaly_Only,2026
MalMem,feature_poisoning,0.01,E4_PoisonShield,42
MalMem,feature_poisoning,0.01,E4_PoisonShield,123
MalMem,feature_poisoning,0.01,E4_PoisonShield,2026
MalMem,feature_poisoning,0.05,E1_No_Defense,42
MalMem,feature_poisoning,0.05,E1_No_Defense,123
MalMem,feature_poisoning,0.05,E1_No_Defense,2026
MalMem,feature_poisoning,0.05,E2_Integrity_Only,42
MalMem,feature_poisoning,0.05,E2_Integrity_Only,123
MalMem,feature_poisoning,0.05,E2_Integrity_Only,2026
MalMem,feature_poisoning,0.05,E3_Anomaly_Only,42
MalMem,feature_poisoning,0.05,E3_Anomaly_Only,123
MalMem,feature_poisoning,0.05,E3_Anomaly_Only,2026
MalMem,feature_poisoning,0.05,E4_PoisonShield,42
MalMem,feature_poisoning,0.05,E4_PoisonShield,123
MalMem,feature_poisoning,0.05,E4_PoisonShield,2026
MalMem,feature_poisoning,0.1,E1_No_Defense,42
MalMem,feature_poisoning,0.1,E1_No_Defense,123
MalMem,feature_poisoning,0.1,E1_No_Defense,2026
MalMem,feature_poisoning,0.1,E2_Integrity_Only,42
MalMem,feature_poisoning,0.1,E2_Integrity_Only,123
MalMem,feature_poisoning,0.1,E2_Integrity_Only,2026
MalMem,feature_poisoning,0.1,E3_Anomaly_Only,42
MalMem,feature_poisoning,0.1,E3_Anomaly_Only,123
MalMem,feature_poisoning,0.1,E3_Anomaly_Only,2026
MalMem,feature_poisoning,0.1,E4_PoisonShield,42
MalMem,feature_poisoning,0.1,E4_PoisonShield,123
MalMem,feature_poisoning,0.1,E4_PoisonShield,2026
MalMem,feature_poisoning,0.2,E1_No_Defense,42
MalMem,feature_poisoning,0.2,E1_No_Defense,123
MalMem,feature_poisoning,0.2,E1_No_Defense,2026
MalMem,feature_poisoning,0.2,E2_Integrity_Only,42
MalMem,feature_poisoning,0.2,E2_Integrity_Only,123
MalMem,feature_poisoning,0.2,E2_Integrity_Only,2026
MalMem,feature_poisoning,0.2,E3_Anomaly_Only,42
MalMem,feature_poisoning,0.2,E3_Anomaly_Only,123
MalMem,feature_poisoning,0.2,E3_Anomaly_Only,2026
MalMem,feature_poisoning,0.2,E4_PoisonShield,42
MalMem,feature_poisoning,0.2,E4_PoisonShield,123
MalMem,feature_poisoning,0.2,E4_PoisonShield,2026
MalMem,missing_value_injection,0.01,E1_No_Defense,42
MalMem,missing_value_injection,0.01,E1_No_Defense,123
MalMem,missing_value_injection,0.01,E1_No_Defense,2026
MalMem,missing_value_injection,0.01,E2_Integrity_Only,42
MalMem,missing_value_injection,0.01,E2_Integrity_Only,123
MalMem,missing_value_injection,0.01,E2_Integrity_Only,2026
MalMem,missing_value_injection,0.01,E3_Anomaly_Only,42
MalMem,missing_value_injection,0.01,E3_Anomaly_Only,123
MalMem,missing_value_injection,0.01,E3_Anomaly_Only,2026
MalMem,missing_value_injection,0.01,E4_PoisonShield,42
MalMem,missing_value_injection,0.01,E4_PoisonShield,123
MalMem,missing_value_injection,0.01,E4_PoisonShield,2026
MalMem,missing_value_injection,0.05,E1_No_Defense,42
MalMem,missing_value_injection,0.05,E1_No_Defense,123
MalMem,missing_value_injection,0.05,E1_No_Defense,2026
MalMem,missing_value_injection,0.05,E2_Integrity_Only,42
MalMem,missing_value_injection,0.05,E2_Integrity_Only,123
MalMem,missing_value_injection,0.05,E2_Integrity_Only,2026
MalMem,missing_value_injection,0.05,E3_Anomaly_Only,42
MalMem,missing_value_injection,0.05,E3_Anomaly_Only,123
MalMem,missing_value_injection,0.05,E3_Anomaly_Only,2026
MalMem,missing_value_injection,0.05,E4_PoisonShield,42
MalMem,missing_value_injection,0.05,E4_PoisonShield,123
MalMem,missing_value_injection,0.05,E4_PoisonShield,2026
MalMem,missing_value_injection,0.1,E1_No_Defense,42
MalMem,missing_value_injection,0.1,E1_No_Defense,123
MalMem,missing_value_injection,0.1,E1_No_Defense,2026
MalMem,missing_value_injection,0.1,E2_Integrity_Only,42
MalMem,missing_value_injection,0.1,E2_Integrity_Only,123
MalMem,missing_value_injection,0.1,E2_Integrity_Only,2026
MalMem,missing_value_injection,0.1,E3_Anomaly_Only,42
MalMem,missing_value_injection,0.1,E3_Anomaly_Only,123
MalMem,missing_value_injection,0.1,E3_Anomaly_Only,2026
MalMem,missing_value_injection,0.1,E4_PoisonShield,42
MalMem,missing_value_injection,0.1,E4_PoisonShield,123
MalMem,missing_value_injection,0.1,E4_PoisonShield,2026
MalMem,missing_value_injection,0.2,E1_No_Defense,42
MalMem,missing_value_injection,0.2,E1_No_Defense,123
MalMem,missing_value_injection,0.2,E1_No_Defense,2026
MalMem,missing_value_injection,0.2,E2_Integrity_Only,42
MalMem,missing_value_injection,0.2,E2_Integrity_Only,123
MalMem,missing_value_injection,0.2,E2_Integrity_Only,2026
MalMem,missing_value_injection,0.2,E3_Anomaly_Only,42
MalMem,missing_value_injection,0.2,E3_Anomaly_Only,123
MalMem,missing_value_injection,0.2,E3_Anomaly_Only,2026
MalMem,missing_value_injection,0.2,E4_PoisonShield,42
MalMem,missing_value_injection,0.2,E4_PoisonShield,123
MalMem,missing_value_injection,0.2,E4_PoisonShield,2026
MalMem,outlier_injection,0.01,E1_No_Defense,42
MalMem,outlier_injection,0.01,E1_No_Defense,123
MalMem,outlier_injection,0.01,E1_No_Defense,2026
MalMem,outlier_injection,0.01,E2_Integrity_Only,42
MalMem,outlier_injection,0.01,E2_Integrity_Only,123
MalMem,outlier_injection,0.01,E2_Integrity_Only,2026
MalMem,outlier_injection,0.01,E3_Anomaly_Only,42
MalMem,outlier_injection,0.01,E3_Anomaly_Only,123
MalMem,outlier_injection,0.01,E3_Anomaly_Only,2026
MalMem,outlier_injection,0.01,E4_PoisonShield,42
MalMem,outlier_injection,0.01,E4_PoisonShield,123
MalMem,outlier_injection,0.01,E4_PoisonShield,2026
MalMem,outlier_injection,0.05,E1_No_Defense,42
MalMem,outlier_injection,0.05,E1_No_Defense,123
MalMem,outlier_injection,0.05,E1_No_Defense,2026
MalMem,outlier_injection,0.05,E2_Integrity_Only,42
MalMem,outlier_injection,0.05,E2_Integrity_Only,123
MalMem,outlier_injection,0.05,E2_Integrity_Only,2026
MalMem,outlier_injection,0.05,E3_Anomaly_Only,42
MalMem,outlier_injection,0.05,E3_Anomaly_Only,123
MalMem,outlier_injection,0.05,E3_Anomaly_Only,2026
MalMem,outlier_injection,0.05,E4_PoisonShield,42
MalMem,outlier_injection,0.05,E4_PoisonShield,123
MalMem,outlier_injection,0.05,E4_PoisonShield,2026
MalMem,outlier_injection,0.1,E1_No_Defense,42
MalMem,outlier_injection,0.1,E1_No_Defense,123
MalMem,outlier_injection,0.1,E1_No_Defense,2026
MalMem,outlier_injection,0.1,E2_Integrity_Only,42
MalMem,outlier_injection,0.1,E2_Integrity_Only,123
MalMem,outlier_injection,0.1,E2_Integrity_Only,2026
MalMem,outlier_injection,0.1,E3_Anomaly_Only,42
MalMem,outlier_injection,0.1,E3_Anomaly_Only,123
MalMem,outlier_injection,0.1,E3_Anomaly_Only,2026
MalMem,outlier_injection,0.1,E4_PoisonShield,42
MalMem,outlier_injection,0.1,E4_PoisonShield,123
MalMem,outlier_injection,0.1,E4_PoisonShield,2026
MalMem,outlier_injection,0.2,E1_No_Defense,42
MalMem,outlier_injection,0.2,E1_No_Defense,123
MalMem,outlier_injection,0.2,E1_No_Defense,2026
MalMem,outlier_injection,0.2,E2_Integrity_Only,42
MalMem,outlier_injection,0.2,E2_Integrity_Only,123
MalMem,outlier_injection,0.2,E2_Integrity_Only,2026
MalMem,outlier_injection,0.2,E3_Anomaly_Only,42
MalMem,outlier_injection,0.2,E3_Anomaly_Only,123
MalMem,outlier_injection,0.2,E3_Anomaly_Only,2026
MalMem,outlier_injection,0.2,E4_PoisonShield,42
MalMem,outlier_injection,0.2,E4_PoisonShield,123
MalMem,outlier_injection,0.2,E4_PoisonShield,2026
MalMem,sample_duplication,0.01,E1_No_Defense,42
MalMem,sample_duplication,0.01,E1_No_Defense,123
MalMem,sample_duplication,0.01,E1_No_Defense,2026
MalMem,sample_duplication,0.01,E2_Integrity_Only,42
MalMem,sample_duplication,0.01,E2_Integrity_Only,123
MalMem,sample_duplication,0.01,E2_Integrity_Only,2026
MalMem,sample_duplication,0.01,E3_Anomaly_Only,42
MalMem,sample_duplication,0.01,E3_Anomaly_Only,123
MalMem,sample_duplication,0.01,E3_Anomaly_Only,2026
MalMem,sample_duplication,0.01,E4_PoisonShield,42
MalMem,sample_duplication,0.01,E4_PoisonShield,123
MalMem,sample_duplication,0.01,E4_PoisonShield,2026
MalMem,sample_duplication,0.05,E1_No_Defense,42
MalMem,sample_duplication,0.05,E1_No_Defense,123
MalMem,sample_duplication,0.05,E1_No_Defense,2026
MalMem,sample_duplication,0.05,E2_Integrity_Only,42
MalMem,sample_duplication,0.05,E2_Integrity_Only,123
MalMem,sample_duplication,0.05,E2_Integrity_Only,2026
MalMem,sample_duplication,0.05,E3_Anomaly_Only,42
MalMem,sample_duplication,0.05,E3_Anomaly_Only,123
MalMem,sample_duplication,0.05,E3_Anomaly_Only,2026
MalMem,sample_duplication,0.05,E4_PoisonShield,42
MalMem,sample_duplication,0.05,E4_PoisonShield,123
MalMem,sample_duplication,0.05,E4_PoisonShield,2026
MalMem,sample_duplication,0.1,E1_No_Defense,42
MalMem,sample_duplication,0.1,E1_No_Defense,123
MalMem,sample_duplication,0.1,E1_No_Defense,2026
MalMem,sample_duplication,0.1,E2_Integrity_Only,42
MalMem,sample_duplication,0.1,E2_Integrity_Only,123
MalMem,sample_duplication,0.1,E2_Integrity_Only,2026
MalMem,sample_duplication,0.1,E3_Anomaly_Only,42
MalMem,sample_duplication,0.1,E3_Anomaly_Only,123
MalMem,sample_duplication,0.1,E3_Anomaly_Only,2026
MalMem,sample_duplication,0.1,E4_PoisonShield,42
MalMem,sample_duplication,0.1,E4_PoisonShield,123
MalMem,sample_duplication,0.1,E4_PoisonShield,2026
MalMem,sample_duplication,0.2,E1_No_Defense,42
MalMem,sample_duplication,0.2,E1_No_Defense,123
MalMem,sample_duplication,0.2,E1_No_Defense,2026
MalMem,sample_duplication,0.2,E2_Integrity_Only,42
MalMem,sample_duplication,0.2,E2_Integrity_Only,123
MalMem,sample_duplication,0.2,E2_Integrity_Only,2026
MalMem,sample_duplication,0.2,E3_Anomaly_Only,42
MalMem,sample_duplication,0.2,E3_Anomaly_Only,123
MalMem,sample_duplication,0.2,E3_Anomaly_Only,2026
MalMem,sample_duplication,0.2,E4_PoisonShield,42
MalMem,sample_duplication,0.2,E4_PoisonShield,123
MalMem,sample_duplication,0.2,E4_PoisonShield,2026
Android,backdoor_injection,0.01,E1_No_Defense,42
Android,backdoor_injection,0.01,E1_No_Defense,123
Android,backdoor_injection,0.01,E1_No_Defense,2026
Android,backdoor_injection,0.01,E2_Integrity_Only,42
Android,backdoor_injection,0.01,E2_Integrity_Only,123
Android,backdoor_injection,0.01,E2_Integrity_Only,2026
Android,backdoor_injection,0.01,E3_Anomaly_Only,42
Android,backdoor_injection,0.01,E3_Anomaly_Only,123
Android,backdoor_injection,0.01,E3_Anomaly_Only,2026
Android,backdoor_injection,0.01,E4_PoisonShield,42
Android,backdoor_injection,0.01,E4_PoisonShield,123
Android,backdoor_injection,0.01,E4_PoisonShield,2026
Android,backdoor_injection,0.05,E1_No_Defense,42
Android,backdoor_injection,0.05,E1_No_Defense,123
Android,backdoor_injection,0.05,E1_No_Defense,2026
Android,backdoor_injection,0.05,E2_Integrity_Only,42
Android,backdoor_injection,0.05,E2_Integrity_Only,123
Android,backdoor_injection,0.05,E2_Integrity_Only,2026
Android,backdoor_injection,0.05,E3_Anomaly_Only,42
Android,backdoor_injection,0.05,E3_Anomaly_Only,123
Android,backdoor_injection,0.05,E3_Anomaly_Only,2026
Android,backdoor_injection,0.05,E4_PoisonShield,42
Android,backdoor_injection,0.05,E4_PoisonShield,123
Android,backdoor_injection,0.05,E4_PoisonShield,2026
Android,backdoor_injection,0.1,E1_No_Defense,42
Android,backdoor_injection,0.1,E1_No_Defense,123
Android,backdoor_injection,0.1,E1_No_Defense,2026
Android,backdoor_injection,0.1,E2_Integrity_Only,42
Android,backdoor_injection,0.1,E2_Integrity_Only,123
Android,backdoor_injection,0.1,E2_Integrity_Only,2026
Android,backdoor_injection,0.1,E3_Anomaly_Only,42
Android,backdoor_injection,0.1,E3_Anomaly_Only,123
Android,backdoor_injection,0.1,E3_Anomaly_Only,2026
Android,backdoor_injection,0.1,E4_PoisonShield,42
Android,backdoor_injection,0.1,E4_PoisonShield,123
Android,backdoor_injection,0.1,E4_PoisonShield,2026
Android,backdoor_injection,0.2,E1_No_Defense,42
Android,backdoor_injection,0.2,E1_No_Defense,123
Android,backdoor_injection,0.2,E1_No_Defense,2026
Android,backdoor_injection,0.2,E2_Integrity_Only,42
Android,backdoor_injection,0.2,E2_Integrity_Only,123
Android,backdoor_injection,0.2,E2_Integrity_Only,2026
Android,backdoor_injection,0.2,E3_Anomaly_Only,42
Android,backdoor_injection,0.2,E3_Anomaly_Only,123
Android,backdoor_injection,0.2,E3_Anomaly_Only,2026
Android,backdoor_injection,0.2,E4_PoisonShield,42
Android,backdoor_injection,0.2,E4_PoisonShield,123
Android,backdoor_injection,0.2,E4_PoisonShield,2026
Android,gaussian_noise_injection,0.01,E1_No_Defense,42
Android,gaussian_noise_injection,0.01,E1_No_Defense,123
Android,gaussian_noise_injection,0.01,E1_No_Defense,2026
Android,gaussian_noise_injection,0.01,E2_Integrity_Only,42
Android,gaussian_noise_injection,0.01,E2_Integrity_Only,123
Android,gaussian_noise_injection,0.01,E2_Integrity_Only,2026
Android,gaussian_noise_injection,0.01,E3_Anomaly_Only,42
Android,gaussian_noise_injection,0.01,E3_Anomaly_Only,123
Android,gaussian_noise_injection,0.01,E3_Anomaly_Only,2026
Android,gaussian_noise_injection,0.01,E4_PoisonShield,42
Android,gaussian_noise_injection,0.01,E4_PoisonShield,123
Android,gaussian_noise_injection,0.01,E4_PoisonShield,2026
Android,gaussian_noise_injection,0.05,E1_No_Defense,42
Android,gaussian_noise_injection,0.05,E1_No_Defense,123
Android,gaussian_noise_injection,0.05,E1_No_Defense,2026
Android,gaussian_noise_injection,0.05,E2_Integrity_Only,42
Android,gaussian_noise_injection,0.05,E2_Integrity_Only,123
Android,gaussian_noise_injection,0.05,E2_Integrity_Only,2026
Android,gaussian_noise_injection,0.05,E3_Anomaly_Only,42
Android,gaussian_noise_injection,0.05,E3_Anomaly_Only,123
Android,gaussian_noise_injection,0.05,E3_Anomaly_Only,2026
Android,gaussian_noise_injection,0.05,E4_PoisonShield,42
Android,gaussian_noise_injection,0.05,E4_PoisonShield,123
Android,gaussian_noise_injection,0.05,E4_PoisonShield,2026
Android,gaussian_noise_injection,0.1,E1_No_Defense,42
Android,gaussian_noise_injection,0.1,E1_No_Defense,123
Android,gaussian_noise_injection,0.1,E1_No_Defense,2026
Android,gaussian_noise_injection,0.1,E2_Integrity_Only,42
Android,gaussian_noise_injection,0.1,E2_Integrity_Only,123
Android,gaussian_noise_injection,0.1,E2_Integrity_Only,2026
Android,gaussian_noise_injection,0.1,E3_Anomaly_Only,42
Android,gaussian_noise_injection,0.1,E3_Anomaly_Only,123
Android,gaussian_noise_injection,0.1,E3_Anomaly_Only,2026
Android,gaussian_noise_injection,0.1,E4_PoisonShield,42
Android,gaussian_noise_injection,0.1,E4_PoisonShield,123
Android,gaussian_noise_injection,0.1,E4_PoisonShield,2026
Android,gaussian_noise_injection,0.2,E1_No_Defense,42
Android,gaussian_noise_injection,0.2,E1_No_Defense,123
Android,gaussian_noise_injection,0.2,E1_No_Defense,2026
Android,gaussian_noise_injection,0.2,E2_Integrity_Only,42
Android,gaussian_noise_injection,0.2,E2_Integrity_Only,123
Android,gaussian_noise_injection,0.2,E2_Integrity_Only,2026
Android,gaussian_noise_injection,0.2,E3_Anomaly_Only,42
Android,gaussian_noise_injection,0.2,E3_Anomaly_Only,123
Android,gaussian_noise_injection,0.2,E3_Anomaly_Only,2026
Android,gaussian_noise_injection,0.2,E4_PoisonShield,42
Android,gaussian_noise_injection,0.2,E4_PoisonShield,123
Android,gaussian_noise_injection,0.2,E4_PoisonShield,2026
Android,label_flipping,0.01,E1_No_Defense,42
Android,label_flipping,0.01,E1_No_Defense,123
Android,label_flipping,0.01,E1_No_Defense,2026
Android,label_flipping,0.01,E2_Integrity_Only,42
Android,label_flipping,0.01,E2_Integrity_Only,123
Android,label_flipping,0.01,E2_Integrity_Only,2026
Android,label_flipping,0.01,E3_Anomaly_Only,42
Android,label_flipping,0.01,E3_Anomaly_Only,123
Android,label_flipping,0.01,E3_Anomaly_Only,2026
Android,label_flipping,0.01,E4_PoisonShield,42
Android,label_flipping,0.01,E4_PoisonShield,123
Android,label_flipping,0.01,E4_PoisonShield,2026
Android,label_flipping,0.05,E1_No_Defense,42
Android,label_flipping,0.05,E1_No_Defense,123
Android,label_flipping,0.05,E1_No_Defense,2026
Android,label_flipping,0.05,E2_Integrity_Only,42
Android,label_flipping,0.05,E2_Integrity_Only,123
Android,label_flipping,0.05,E2_Integrity_Only,2026
Android,label_flipping,0.05,E3_Anomaly_Only,42
Android,label_flipping,0.05,E3_Anomaly_Only,123
Android,label_flipping,0.05,E3_Anomaly_Only,2026
Android,label_flipping,0.05,E4_PoisonShield,42
Android,label_flipping,0.05,E4_PoisonShield,123
Android,label_flipping,0.05,E4_PoisonShield,2026
Android,label_flipping,0.1,E1_No_Defense,42
Android,label_flipping,0.1,E1_No_Defense,123
Android,label_flipping,0.1,E1_No_Defense,2026
Android,label_flipping,0.1,E2_Integrity_Only,42
Android,label_flipping,0.1,E2_Integrity_Only,123
Android,label_flipping,0.1,E2_Integrity_Only,2026
Android,label_flipping,0.1,E3_Anomaly_Only,42
Android,label_flipping,0.1,E3_Anomaly_Only,123
Android,label_flipping,0.1,E3_Anomaly_Only,2026
Android,label_flipping,0.1,E4_PoisonShield,42
Android,label_flipping,0.1,E4_PoisonShield,123
Android,label_flipping,0.1,E4_PoisonShield,2026
Android,label_flipping,0.2,E1_No_Defense,42
Android,label_flipping,0.2,E1_No_Defense,123
Android,label_flipping,0.2,E1_No_Defense,2026
Android,label_flipping,0.2,E2_Integrity_Only,42
Android,label_flipping,0.2,E2_Integrity_Only,123
Android,label_flipping,0.2,E2_Integrity_Only,2026
Android,label_flipping,0.2,E3_Anomaly_Only,42
Android,label_flipping,0.2,E3_Anomaly_Only,123
