dataset,feature,infinite_count
Android,fsync,0
Android,ftruncate,0
Android,ftruncate64,0
Android,futex,0
Android,geocoderIsPresent,0
Android,getAccounts,0
Android,getAccountsAsUser,0
Android,getActiveAdmins,0
Android,getActiveNetworkInfo,0
Android,getActivePhoneType,0
Android,getActivityInfo,0
Android,getAllCellInfo,0
Android,getAllNetworkInfo,0
Android,getAllPkgUsageStats,0
Android,getAllProviders,0
Android,getAnimationScale,0
Android,getAppWidgetIds,0
Android,getAppWidgetInfo,0
Android,getApplicationEnabledSetting,0
Android,getApplicationInfo,0
Android,getApplicationRestrictions,0
Android,getAuthenticatorTypes,0
Android,getBestProvider,0
Android,getBoolean,0
Android,getCallState,0
Android,getCameraDisabled,0
Android,getCameraInfo,0
Android,getCellLocation,0
Android,getClientDefaultLanguage,0
Android,getComponentEnabledSetting,0
Android,getConfiguredNetworks,0
Android,getConnectionInfo,0
Android,getCurrentInputMethodSubtype,0
Android,getCurrentModeType,0
Android,getCurrentSpellChecker,0
Android,getCurrentSpellCheckerSubtype,0
Android,getDataActivity,0
Android,getDataNetworkType,0
Android,getDataState,0
Android,getDeviceId,0
Android,getDeviceList,0
Android,getDeviceOwner,0
Android,getDeviceSvn,0
Android,getDhcpInfo,0
Android,getDisplayFrame,0
Android,getDisplayIds,0
Android,getDisplayInfo,0
Android,getEnabledAccessibilityServiceList,0
Android,getEnabledInputMethodList,0
Android,getEnabledInputMethodSubtypeList,0
Android,getFlashlightEnabled,0
Android,getFromLocation,0
Android,getGlobalSearchActivity,0
Android,getGroupIdLevel1,0
Android,getHeightHint,0
Android,getIccSerialNumber,0
Android,getInTouchMode,0
Android,getInputDevice,0
Android,getInputDeviceIds,0
Android,getInputMethodList,0
Android,getInstallLocation,0
Android,getInstalledApplications,0
Android,getInstalledPackages,0
Android,getInstalledProviders,0
Android,getInstallerPackageName,0
Android,getIsSyncable,0
Android,getLastChosenActivity,0
Android,getLastInputMethodSubtype,0
Android,getLastLocation,0
Android,getLine1Number,0
Android,getLong,0
Android,getMasterSyncAutomatically,0
Android,getMessenger,0
Android,getMobileDataEnabled,0
Android,getMobileIfaces,0
Android,getMode,0
Android,getNameForUid,0
Android,getNeighboringCellInfo,0
Android,getNetworkInfo,0
Android,getNetworkPreference,0
Android,getNightMode,0
Android,getNumberOfCameras,0
Android,getPackageGids,0
Android,getPackageInfo,0
Android,getPackageSizeInfo,0
Android,getPackagesForUid,0
Android,getPassword,0
Android,getPermissionGroupInfo,0
Android,getPermissionInfo,0
Android,getPreferredActivities,0
Android,getPreferredPackages,0
Android,getPrimaryClip,0
Android,getProviderInfo,0
Android,getProviderProperties,0
Android,getProviders,0
Android,getProxy,0
Android,getReceiverInfo,0
Android,getRingerMode,0
Android,getRingtonePlayer,0
Android,getScanResults,0
Android,getSearchableInfo,0
Android,getSearchablesInGlobalSearch,0
Android,getServiceInfo,0
Android,getSpellCheckerService,0
Android,getState,0
Android,getStorageEncryptionStatus,0
Android,getStreamMaxVolume,0
Android,getStreamVolume,0
Android,getString,0
Android,getSubscriberId,0
Android,getSyncAutomatically,0
Android,getSystemAvailableFeatures,0
Android,getSystemSharedLibraryNames,0
Android,getTetheredIfaces,0
Android,getUserData,0
Android,getUserIcon,0
Android,getUserRestrictions,0
Android,getUserSerialNumber,0
Android,getUsers,0
Android,getVibrateSetting,0
Android,getVoiceMailAlphaTag,0
Android,getVoiceMailNumber,0
Android,getWallpaper,0
Android,getWallpaperInfo,0
Android,getWidthHint,0
Android,getWifiApConfiguration,0
Android,getWifiApEnabledState,0
Android,getWifiDisplayStatus,0
Android,getWifiEnabledState,0
Android,getWifiServiceMessenger,0
Android,getcwd,0
Android,getdents64,0
Android,getegid32,0
Android,geteuid32,0
Android,getgid32,0
Android,getgroups32,0
Android,getpeername,0
Android,getpgid,0
Android,getpid,0
Android,getppid,0
Android,getpriority,0
Android,getresgid32,0
Android,getresuid32,0
Android,getrusage,0
Android,getsockname,0
Android,getsockopt,0
Android,gettid,0
Android,gettimeofday,0
Android,getuid32,0
Android,hasClipboardText,0
Android,hasIccCard,0
Android,hasKeys,0
Android,hasNamedWallpaper,0
Android,hasNavigationBar,0
Android,hasPrimaryClip,0
Android,hasSystemFeature,0
Android,hasVibrator,0
Android,hideSoftInput,0
Android,inKeyguardRestrictedInputMode,0
Android,inotify_add_watch,0
Android,inotify_init,0
Android,inotify_rm_watch,0
Android,ioctl,0
Android,isActiveNetworkMetered,0
Android,isAdminActive,0
Android,isBluetoothA2dpOn,0
Android,isBluetoothScoOn,0
Android,isCameraSoundForced,0
Android,isImsSmsSupported,0
Android,isKeyguardLocked,0
Android,isKeyguardSecure,0
Android,isPackageAvailable,0
Android,isProviderEnabled,0
Android,isSafeMode,0
Android,isScanAlwaysAvailable,0
Android,isScreenOn,0
Android,isSpeakerphoneOn,0
Android,isSpellCheckerEnabled,0
Android,isSyncActive,0
Android,isWakeLockLevelSupported,0
Android,lgetxattr,0
Android,link,0
Android,listen,0
Android,locationCallbackFinished,0
Android,lseek,0
Android,lstat64,0
Android,madvise,0
Android,mkdir,0
Android,mknod,0
Android,mlock,0
Android,mmap2,0
Android,mount,0
Android,mprotect,0
Android,mremap,0
Android,msync,0
Android,munlock,0
Android,munmap,0
Android,nanosleep,0
Android,notifyAppWidgetViewDataChanged,0
Android,notifyChange,0
Android,onChange,0
Android,onClose,0
Android,onFinished,0
Android,onGetSentenceSuggestionsMultiple,0
Android,onRectangleOnScreenRequested,0
Android,onRequestContinued,0
Android,onResult,0
Android,open,0
Android,openSession,0
Android,partiallyUpdateAppWidgetIds,0
Android,performDeferredDestroy,0
Android,pingSupplicant,0
Android,pipe,0
Android,pipe2,0
Android,play,0
Android,playSoundEffect,0
Android,playSoundEffectVolume,0
Android,poll,0
Android,prctl,0
Android,pread64,0
Android,prepareVpn,0
Android,ptrace,0
Android,pwrite64,0
Android,queryContentProviders,0
Android,queryIntentActivities,0
Android,queryIntentContentProviders,0
Android,queryIntentReceivers,0
Android,queryIntentServices,0
Android,read,0
Android,readlink,0
Android,reassociate,0
Android,recvfrom,0
Android,recvmsg,0
Android,reenableKeyguard,0
Android,registerCallback,0
Android,registerContentObserver,0
Android,registerInputDevicesChangedListener,0
Android,registerMediaButtonIntent,0
Android,registerRemoteControlClient,0
Android,registerSuggestionSpansForNotification,0
Android,relayout,0
Android,releaseMulticastLock,0
Android,releaseWakeLock,0
Android,releaseWifiLock,0
Android,remove,0
Android,removeAccessibilityInteractionConnection,0
Android,removeActiveAdmin,0
Android,removeGpsStatusListener,0
Android,removePrimaryClipChangedListener,0
Android,removeStatusChangeListener,0
Android,rename,0
Android,requestLocationUpdates,0
Android,requestScanFile,0
Android,resolveContentProvider,0
Android,resolveIntent,0
Android,resolveService,0
Android,restorePackage,0
Android,rmdir,0
Android,rt_sigprocmask,0
Android,rt_sigtimedwait,0
Android,sched_get_priority_max,0
Android,sched_get_priority_min,0
Android,sched_getparam,0
Android,sched_getscheduler,0
Android,sched_setaffinity,0
Android,sched_setscheduler,0
Android,sched_yield,0
Android,send,0
Android,sendAccessibilityEvent,0
Android,sendExtraCommand,0
Android,sendMultipartText,0
Android,sendText,0
Android,sendmsg,0
Android,sendto,0
Android,set,0
Android,setApplicationEnabledSetting,0
Android,setCallback,0
Android,setComponentEnabledSetting,0
Android,setDimensionHints,0
Android,setDiscoveryRequest,0
Android,setExtractedText,0
Android,setFlashlightEnabled,0
Android,setIconVisibility,0
Android,setInTouchMode,0
Android,setIsSyncable,0
Android,setMetadata,0
Android,setMobileDataEnabled,0
Android,setMode,0
Android,setNetworkPreference,0
Android,setNightMode,0
Android,setPlaybackState,0
Android,setPlaybackStateForRcc,0
Android,setPrimaryClip,0
Android,setRadio,0
Android,setRingerMode,0
Android,setSpeakerphoneOn,0
Android,setStreamMute,0
Android,setStreamVolume,0
Android,setSyncAutomatically,0
Android,setTextAfterCursor,0
Android,setTextBeforeCursor,0
Android,setTransparentRegion,0
Android,setTransportControlInfo,0
Android,setWallpaper,0
Android,setWallpaperPosition,0
Android,setWifiApConfiguration,0
Android,setWifiApEnabled,0
Android,setWifiEnabled,0
Android,setgid32,0
Android,setgroups32,0
Android,setitimer,0
Android,setpgid,0
Android,setpriority,0
Android,setresgid32,0
Android,setresuid32,0
Android,setrlimit,0
Android,setsid,0
Android,setsockopt,0
Android,setuid32,0
Android,showSoftInput,0
Android,showStrictModeViolation,0
Android,shutdown,0
Android,sigaction,0
Android,sigaltstack,0
Android,sigprocmask,0
Android,sigsuspend,0
Android,socket,0
Android,socketpair,0
Android,startBluetoothSco,0
Android,startInput,0
Android,startScan,0
Android,startWatchingRoutes,0
Android,startWifiDisplayScan,0
Android,stat64,0
Android,statfs64,0
Android,statusBarVisibilityChanged,0
Android,stop,0
Android,stopListening,0
Android,stopUsingNetworkFeature,0
Android,symlink,0
Android,sync,0
Android,sysinfo,0
Android,timer_create,0
Android,timer_settime,0
Android,toggleSoftInput,0
Android,truncate,0
Android,ugetrlimit,0
Android,umask,0
Android,uname,0
Android,unlink,0
Android,unregisterContentObserver,0
Android,unregisterMediaButtonIntent,0
Android,unregisterRemoteControlClient,0
Android,updateAppWidgetIds,0
Android,updateAppWidgetProvider,0
Android,updateSelection,0
Android,updateServiceLocation,0
Android,utimes,0
Android,vfork,0
Android,vibrate,0
Android,vibratePattern,0
Android,wait4,0
Android,watchRotation,0
Android,windowGainedFocus,0
Android,write,0
Android,writev,0
