,count,mean,std,min,25%,50%,75%,max,missing_count,skewness
handles.ntimer,58596.0,130.33236057068743,14.955324018309785,69.0,120.0,131.0,142.0,382.0,0,-0.0939162539894169
handles.nsection,58596.0,289.92289576080276,131.5489311401678,50.0,177.0,224.0,415.0,4401.0,0,0.8077848208775645
handles.nmutant,58596.0,312.5953819373336,73.16172266834516,118.0,258.0,289.0,366.0,583.0,0,0.42939220234352243
ldrmodules.not_in_load,58596.0,60.8351935285685,18.775789597372068,6.0,46.0,57.0,74.0,240.0,0,0.8125697420095287
ldrmodules.not_in_init,58596.0,99.9477780053246,21.45298986082605,16.0,85.0,97.0,115.0,264.0,0,0.7789339403953625
ldrmodules.not_in_mem,58596.0,60.837514506109635,18.77430272462007,6.0,46.0,57.0,74.0,240.0,0,0.8125793898380771
ldrmodules.not_in_load_avg,58596.0,0.03316791660080893,0.00912522862553354,0.016176471,0.028846154,0.031360647,0.036429872,0.531120332,0,18.362658308221743
ldrmodules.not_in_init_avg,58596.0,0.055219371846849614,0.009960820435545999,0.040525739,0.05239743,0.054035568,0.056009233000000005,0.585062241,0,20.45769804609212
ldrmodules.not_in_mem_avg,58596.0,0.03316955536650966,0.009127937391424588,0.016176471,0.028846154,0.031360647,0.036429872,0.531120332,0,18.361917478486934
malfind.ninjections,58596.0,7.0086354017339065,15.377942869456444,1.0,3.0,4.0,5.0,627.0,0,11.333406574944352
malfind.commitCharge,57655.0,3543.989882914452,59531.54568079722,0.10671958,3.0,5.0,6.0,5032921.092,941,46.26887233982398
malfind.protection,58596.0,42.27257833299201,92.26085354766612,6.0,18.0,24.0,30.0,3762.0,0,11.329113182826173
malfind.uniqueInjections,58596.0,1.7332701949125027,2.739970531814864,1.0,1.0,1.25,1.333333333,90.66666667,0,9.450645820080634
psxview.not_in_pslist,58596.0,1.873472591985801,2.9853981640793377,0.0,0.0,1.0,3.0,43.0,0,2.949110718665273
psxview.not_in_eprocess_pool,58596.0,0.0020479213598197828,0.04520798886030665,0.0,0.0,0.0,0.0,1.0,0,22.03013617220076
psxview.not_in_ethread_pool,58596.0,2.269540582974947,4.588891033278996,0.0,0.0,1.0,3.0,201.0,0,12.288818521511987
psxview.not_in_pspcid_list,58596.0,1.8777561608300908,3.0109490086330837,0.0,0.0,1.0,3.0,43.0,0,3.073043053425516
psxview.not_in_csrss_handles,58596.0,6.272578332992013,4.589380996865239,4.0,4.0,5.0,7.0,205.0,0,12.284295221798127
psxview.not_in_session,58596.0,3.8732336678271553,2.985422327693809,2.0,2.0,3.0,5.0,45.0,0,2.949172659457351
psxview.not_in_deskthrd,58596.0,8.251911393269165,4.702749749688053,4.0,6.0,7.0,9.0,207.0,0,11.515894914326555
psxview.not_in_pslist_false_avg,58596.0,0.040964182836627075,0.05750816658918677,0.0,0.0,0.021723155,0.068181818,0.551282051,0,1.888655538574709
psxview.not_in_eprocess_pool_false_avg,58596.0,7.879959050105809e-05,0.0012633980416313533,0.0,0.0,0.0,0.0,0.043478261,0,18.05203280144196
psxview.not_in_ethread_pool_false_avg,58596.0,0.04770513497685849,0.06681820500580839,0.0,0.0,0.023255814,0.069767442,0.8375,0,2.5621479241071814
psxview.not_in_pspcid_list_false_avg,58596.0,0.0410656340329374,0.058261008428589334,0.0,0.0,0.02173913,0.068181818,1.0,0,2.191214969843047
psxview.not_in_csrss_handles_false_avg,58596.0,0.14174959057662637,0.06136120893042897,0.025806452,0.1,0.119047619,0.16564301774999998,0.854166667,0,2.4393852725199525
psxview.not_in_session_false_avg,58596.0,0.0879402217950372,0.05499255301800341,0.008333333,0.048780488,0.066666667,0.113636364,0.576923077,0,1.85784690848401
psxview.not_in_deskthrd_false_avg,58596.0,0.18765437110884703,0.06142304642863328,0.04375,0.146341463,0.16655998049999998,0.21117409075,0.8625,0,2.3816731950258583
modules.nmodules,58596.0,137.92914448295605,13.640575815203881,0.0,138.0,138.0,138.0,346.8389598,0,0.4106497903937512
svcscan.nservices,58596.0,391.4790643506563,38.34026300686903,0.0,389.0,392.0,395.0,1065.192351,0,0.6587014415520378
svcscan.kernel_drivers,57626.0,220.60824974837746,4.508643399374874,55.0,221.0,222.0,222.0,222.0,970,-6.8030580565054795
svcscan.fs_drivers,58596.0,25.99626254351833,0.170740570162313,6.0,26.0,26.0,26.0,26.0,0,-80.919505187925
svcscan.process_services,58596.0,25.06365622226773,1.5294172186169877,7.0,24.0,24.0,27.0,27.0,0,0.15158513177241054
svcscan.shared_process_services,58596.0,116.87976995016724,1.5504045385892242,26.0,116.0,116.0,118.0,118.0,0,-13.240598734275734
svcscan.interactive_process_services,58596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
svcscan.nactive,58596.0,516.8462334206525,1934.799855064373,0.0,121.0,123.0,124.0,9999.0,0,4.696759864263357
callbacks.ncallbacks,58596.0,86.84033117801417,9.089108338937894,0.0,87.0,87.0,88.0,267.5790008,0,-0.13583708082954138
callbacks.nanonymous,58596.0,0.0008874325892552393,0.02977683973170292,0.0,0.0,0.0,0.0,1.0,0,33.524686179660335
callbacks.ngeneric,58596.0,7.999863471909346,0.0116838255912482,7.0,8.0,8.0,8.0,8.0,0,-85.5679554507375
