,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
handles.ndesktop,0.8003603937794129,0.4402212491441103,-0.0051016294498838445,-0.07532161401788313,-0.0402357630202721,0.2597005923929227,-0.03874298755604877,0.10644370284786013,0.07519203083371742,0.6610181037036457,1.0,0.7289681566256654,0.5992344341007513,0.9726011698828165,0.7577454901580076,0.7734104772344261,0.5912614109953804,0.6662459731773883,0.678660115416852,0.7940072687261273,0.6787453965996115,0.20341230179555284,0.09051802965224427,0.20332440363528148,0.15421433253304018,-0.006361776227702951,0.1564473997381809,0.02128019307746871,0.022418961973110104,-0.014518518938457459,0.04910486252923912,0.02213447608795627,0.04851660455067983,0.02235609941205133,0.07829011447099307,-0.017424689213173684,-0.004840343407917779,0.01617288437421567,-0.017418726324900102,-0.1574076395259389,-0.11515279597504964,-0.17290234302585017,0.004904206989698668,0.029792976075721976,0.16563343405246392,0.050795804652746614,0.16208539450013867,0.4296622946784166,-0.07954983637190131,0.0011304716804087873,-0.04691908655397074,0.03629118047948895
handles.nkey,0.5337935119597579,0.16925273914096023,0.2944013104810786,-0.13031864143107266,-0.10189319018963179,0.6066746116058463,-0.09471250190374818,0.17416997073999077,0.043261318735021245,0.7785543382213767,0.7289681566256654,1.0,0.7145799944963507,0.6623464885476393,0.8794132206162913,0.8258846218123465,0.7686959452182105,0.8795008782854191,0.859624941824333,0.8757428519656356,0.8596241016225207,0.37024458046309244,0.14490256240596136,0.3700154444735281,0.011347574841985675,-0.03504838909909784,0.014251809596196237,-0.05760359751099295,0.042093511495378134,-0.004738657701955481,0.05175624798266872,0.040298173663812685,0.05144269484888447,0.042153835764362206,0.05880401706497701,0.023281690750083107,0.03278806452261266,0.047596386692489424,0.021138008873582425,-0.072263928312775,-0.04475108895052915,-0.1023533885156851,0.004360384024129865,0.05000367728935671,0.2410478151478017,0.030534662018215496,0.36991449310850777,0.6100775248980149,-0.14254841033500779,0.04746489449800029,-0.04544792954602659,0.029359937198510495
handles.nthread,0.3965815552800021,-0.34252785304469957,0.6428577883578168,-0.15472234171777202,-0.1394603212629043,0.8706818184465137,-0.12823381467308323,0.31957045097134007,0.13394211745176438,0.9706579788277748,0.5992344341007513,0.7145799944963507,1.0,0.5556559572637849,0.870436249471211,0.8954025823468534,0.9406739245761906,0.8945708305375232,0.7878958992907042,0.7693056060429707,0.7878621810619713,0.2795190237372257,0.002022382754692524,0.2792877801928827,-0.06808795747753008,-0.04290108192205341,-0.06602895147649379,-0.08956339187161783,-0.21404851862587432,-0.034022199065431837,-0.15560810073480882,-0.2131985227191162,-0.155922011763333,-0.21396969206128447,-0.14908054837191634,-0.2379329170710822,-0.010767291013853372,-0.2164032827573992,-0.23607208532574966,-0.30686147850583556,-0.2881096735466736,-0.32766273566196136,0.004744482526011102,0.06824549470632868,0.28214789841266436,0.02381588051903399,0.7811011429967946,0.6683253635753019,-0.17335742601717496,0.08396160687307723,-0.03603896746894494,0.01705937150571173
handles.ndirectory,0.7917251243458516,0.462642513198757,-0.05229071129347121,-0.0541172112009015,-0.02214322654056268,0.19561486546469234,-0.021967218694056885,0.20596486475038644,0.19461613072632633,0.5968880639500442,0.9726011698828165,0.6623464885476393,0.5556559572637849,1.0,0.7237339197064635,0.7406467928459872,0.5230172959302163,0.6090407994937236,0.6055088808940711,0.72844099411355,0.605612495047836,0.17156876625975387,0.08223411645781423,0.1715297580879607,0.17322745622963795,0.002728173203098712,0.17510909782580125,0.045325869919703825,0.00866788815011708,-0.013294941458376617,0.03925259791584568,0.008408076443116164,0.038950595983136646,0.008609712849481975,0.07331983142619992,-0.03061690716950394,-0.004991742096655136,0.0043874746843934895,-0.03053816949838854,-0.1691280332051766,-0.12861523617917608,-0.1763236092024928,0.003578213281545376,0.02406314242488341,0.13513717384852197,0.04048421039525809,0.13038448872799638,0.361406064679578,-0.05699614338189811,-0.012546256476587834,-0.04736758258169575,0.03182452816003489
handles.nsemaphore,0.5354219848256037,-0.02108269784627512,0.40531977885123105,-0.1378651551464835,-0.11331255604987919,0.7279336385726478,-0.10618952178421702,0.35011018257872345,0.19830269709019874,0.9111324556066664,0.7577454901580076,0.8794132206162913,0.870436249471211,0.7237339197064635,1.0,0.9361383957335769,0.860256788291557,0.91717554198475,0.8477072311248626,0.8631178929096891,0.8477332242851856,0.3240068449481677,0.07229446531690158,0.3238203659885844,0.03992018152240966,-0.020343901535720674,0.042312407802322295,-0.008681358022205281,-0.028589820853667448,-0.022565495009953602,-0.012167391206130912,-0.029404305146804324,-0.012368885298207899,-0.028516007619590198,0.003357057723100511,-0.05024214636808188,0.004461402774783252,-0.0308424667483806,-0.05101535486113758,-0.1596172953491438,-0.12264408601258595,-0.1753265272273558,0.009637546469067497,0.06020720047629679,0.27275704869520717,0.033600327644418934,0.5795298223473767,0.6912776926111148,-0.15270612796141758,0.055432880611764046,-0.05616966637066655,0.030595964909059904
handles.ntimer,0.5516060554380654,-0.03471369353793937,0.4344838093064307,-0.14359140871902856,-0.11385274385048082,0.7366255967212839,-0.10666951828436476,0.2656248595212808,0.11444643673390822,0.9162273321752793,0.7734104772344261,0.8258846218123465,0.8954025823468534,0.7406467928459872,0.9361383957335769,1.0,0.8798860824888277,0.8919466946304782,0.8101533520822919,0.8307937464409191,0.8101934926072073,0.2794235395422542,0.027332073312355206,0.2792674240152869,-0.00048324948231245077,-0.02914565964222309,0.0018504967561612368,-0.04609920903522138,-0.09335172865326583,-0.028243154833361667,-0.05687253794987006,-0.09361674158765672,-0.057266087556257506,-0.093266630324375,-0.044001120989683576,-0.1208778618608135,-0.014795172376233734,-0.09538701959743774,-0.12072455008046652,-0.22488811001988393,-0.1933755815465109,-0.2466883331717941,0.005102512316421998,0.06301303661401304,0.27457883732333316,0.03794106207819858,0.6462333040906787,0.6855199842405485,-0.1582572943760777,0.05737656671395324,-0.047838546974863554,0.029853521878428976
handles.nsection,0.3827770476377517,-0.30709174274658346,0.5924780094134653,-0.16511874263464998,-0.1476543778157354,0.8608941742165696,-0.13614745302688733,0.24331059718939826,0.054068836970278866,0.9565265345430616,0.5912614109953804,0.7686959452182105,0.9406739245761906,0.5230172959302163,0.860256788291557,0.8798860824888277,1.0,0.8990408005770694,0.8175611058084737,0.790210266052119,0.8175262477403086,0.32387496984938224,0.04351180887538034,0.32362923068063926,-0.08803454241515907,-0.051479958190109136,-0.08588454167576012,-0.10121145296588056,-0.128063545000451,-0.02757711985122254,-0.09697381320110107,-0.1283707008977961,-0.09738723647547205,-0.1279770780982161,-0.09222517091251868,-0.14869637444665157,-0.0006908366396002029,-0.1343993627110103,-0.14852618563085873,-0.2240126492549766,-0.19832712685319062,-0.24687672599502214,0.004475967902077052,0.06846709616121549,0.2906655891946478,0.022325358027024945,0.7359025130718128,0.692715156175263,-0.18346346388708393,0.0835142931235248,-0.035843838698494265,0.017759043575033256
handles.nmutant,0.4507132218883434,-0.14407346873201995,0.5139126432249052,-0.15563929335095514,-0.13603781671384316,0.8088773182399965,-0.12677063786451645,0.2281560740106083,0.054023829360072086,0.9181044509570844,0.6662459731773883,0.8795008782854191,0.8945708305375232,0.6090407994937236,0.91717554198475,0.8919466946304782,0.8990408005770694,1.0,0.9212604443895281,0.9061303554496366,0.9212628824749421,0.39657437699924264,0.11697496272500627,0.39633769531347696,-0.023625177871644813,-0.03750700007405487,-0.020888534291446464,-0.06894924870820798,-0.04326237901840211,-0.027514826829550414,-0.03524646897879624,-0.044078694441182724,-0.035696393977146586,-0.04317785046142537,-0.030725502380927805,-0.06320669991063109,0.005818438548155039,-0.05490083112208795,-0.06389821751385111,-0.16007696554500453,-0.12164037660412996,-0.1900776378159312,0.005792515650631694,0.061034983744306555,0.2814802227487581,0.026066531469402646,0.5914003796864195,0.6770931616081557,-0.17236128787498445,0.06949657482027118,-0.04085336979506621,0.01998028678377023
ldrmodules.not_in_load,0.4718676137021785,-0.036795669589771575,0.3978373945402344,-0.14274551011114178,-0.1258865293164398,0.6955473381242353,-0.11718191966929872,0.18716757598884246,0.04187404972285668,0.831871185716472,0.678660115416852,0.859624941824333,0.7878958992907042,0.6055088808940711,0.8477072311248626,0.8101533520822919,0.8175611058084737,0.9212604443895281,1.0,0.9817025082790151,0.9999935716193596,0.5461555369892346,0.25443904895700564,0.5458360556018842,-0.047975450615844344,-0.04862294248346117,-0.04516296656750783,-0.10129965910137494,-0.016633554962004703,-0.01882371999489872,-0.013601344943574506,-0.017080057459890833,-0.013915923134017622,-0.016572316696606575,-0.002590409522043153,-0.035612255811269526,0.014243439234083173,-0.030155240260744804,-0.03592826009444227,-0.1376316076969416,-0.09549948746353161,-0.1581943936140259,0.005366275853633125,0.05221859872175568,0.26055030554002184,0.035678199201677405,0.4375146716282247,0.6109838650646657,-0.15676132689067301,0.044325140459524286,-0.03847524388609495,0.03241607550073438
ldrmodules.not_in_init,0.5804933353394168,0.09555218226866986,0.3074231495603313,-0.13120959128148063,-0.10868072745971936,0.613078268891797,-0.10171021535947625,0.1615709572211212,0.040544409412072026,0.8213225277754437,0.7940072687261273,0.8757428519656356,0.7693056060429707,0.72844099411355,0.8631178929096891,0.8307937464409191,0.790210266052119,0.9061303554496366,0.9817025082790151,1.0,0.9817272099044075,0.47331685723674866,0.20527538512685117,0.47303233642307935,0.007282340153771188,-0.04011179400085174,0.01014501486498712,-0.07262235836784318,-0.011602444133065553,-0.018084932025827852,-0.0009075647696930122,-0.012162367342819424,-0.0013856602913525072,-0.011570835293037589,0.010306434840824073,-0.036347217100279605,0.012771906567984588,-0.023770566166237878,-0.036746439839129515,-0.15319341415252863,-0.10864493430135563,-0.1821834080456766,0.005071510369337906,0.0491225544483496,0.25415169248380926,0.05829900961154945,0.3714572754135457,0.5961325700752187,-0.14322106942260593,0.045542369298354354,-0.04155113028725108,0.0425942473088765
ldrmodules.not_in_mem,0.47195180746224275,-0.03669098416986815,0.3977205998691793,-0.14273424199107929,-0.12588919426146314,0.6954787442138155,-0.11718308065844123,0.18715103228524596,0.04187861072110525,0.8318518858748979,0.6787453965996115,0.8596241016225207,0.7878621810619713,0.605612495047836,0.8477332242851856,0.8101934926072073,0.8175262477403086,0.9212628824749421,0.9999935716193596,0.9817272099044075,1.0,0.5461739018478696,0.25449886853055437,0.5458716693589538,-0.04795271905500401,-0.04858040763307295,-0.04514030613028968,-0.1012855225748677,-0.016613799216536256,-0.018830811098509016,-0.013589082096745794,-0.017060691782005574,-0.013903768455077355,-0.01655254637786965,-0.0025603173884691677,-0.03560084140474066,0.014236856495313607,-0.030144430407651482,-0.03591726993000996,-0.13764092480260331,-0.095499195925438,-0.1581820448046164,0.005403590082303359,0.05217481012258878,0.260495588022205,0.03565178691659238,0.4374544276804396,0.6109363036892714,-0.15674799159845132,0.044241159953519044,-0.03848197545722346,0.032420087376975375
ldrmodules.not_in_load_avg,0.16304203069026887,-0.005603034881944669,0.1394298986803169,-0.05614446613241388,-0.06218978414915275,0.2536995793356887,-0.05633397530417799,0.08417203032602343,0.01718727533831816,0.3094291973304733,0.20341230179555284,0.37024458046309244,0.2795190237372257,0.17156876625975387,0.3240068449481677,0.2794235395422542,0.32387496984938224,0.39657437699924264,0.5461555369892346,0.47331685723674866,0.5461739018478696,1.0,0.9028136778994127,0.9999787962544322,-0.06584203259018484,-0.028705152187373902,-0.06447986684609532,-0.07577654568867637,0.06658212208955398,-0.003111557985125368,0.03817721272461293,0.06619081117341392,0.04032075568366364,0.0666131646447669,0.10962689768657652,0.06296755457593547,0.014541422333072982,0.05302435168162145,0.06233870240457291,0.014050990368247883,0.0392784176524152,0.12011720748477306,0.005505540977391641,-0.00903126420111949,-0.024633015559841646,-0.2561878247958901,0.06206925326233022,0.05256534701138797,-0.061798420483241495,-0.10252880898401376,-0.02148512452242726,-0.01716602274186028
ldrmodules.not_in_init_avg,0.12573445147189344,0.15056822621607732,-0.09246856573286534,-0.0028118852564715546,-0.009769124406472613,-0.06189681223624233,-0.005835552269802657,0.0019447007211875849,0.0030529849896365445,0.03145318249220005,0.09051802965224427,0.14490256240596136,0.002022382754692524,0.08223411645781423,0.07229446531690158,0.027332073312355206,0.04351180887538034,0.11697496272500627,0.25443904895700564,0.20527538512685117,0.25449886853055437,0.9028136778994127,1.0,0.9030740590982633,-0.01967602940685028,-0.00935191105704309,-0.018982858470110168,-0.03312911654781105,0.13117191975189504,0.00591881587616677,0.0962876826892507,0.1304752267450236,0.09864110793651143,0.13116864761046856,0.1866542779620961,0.12391713368125634,0.013935377791346336,0.1192331383816763,0.12281732607425877,0.09160802041282029,0.10586306345598318,0.23304627449114937,0.005605800042709785,-0.04062093009170804,-0.16757889404164109,-0.3682803752369139,-0.20621158761274563,-0.24316548109830435,-0.0023511685884299895,-0.14920946402028337,-0.01237026648966427,-0.0676110283890133
ldrmodules.not_in_mem_avg,0.16305793594239618,-0.0054463355725322266,0.1391755198924779,-0.056061025093127895,-0.062171291388343694,0.253407446755955,-0.05631763290007403,0.0841066773025488,0.01718129445269346,0.3092009384431185,0.20332440363528148,0.3700154444735281,0.2792877801928827,0.1715297580879607,0.3238203659885844,0.2792674240152869,0.32362923068063926,0.39633769531347696,0.5458360556018842,0.47303233642307935,0.5458716693589538,0.9999787962544322,0.9030740590982633,1.0,-0.06580320053409927,-0.02864466327877113,-0.06444186719938026,-0.07573760336800889,0.06658263041083747,-0.003118767593255066,0.03817564778375997,0.06619100821417923,0.0403184347557252,0.06661367795827985,0.10969747632530143,0.06296096713374282,0.01452590921650423,0.05301665937162066,0.06233183261189225,0.014038313994239283,0.039269932158120524,0.12022638043165464,0.005545694385919618,-0.009140743531965893,-0.025002090323993767,-0.25654148401250243,0.06181375189989827,0.05208439045390694,-0.06170745381218549,-0.10270677186599705,-0.021484099365735875,-0.017158830711374713
malfind.ninjections,0.2138061339607764,0.2611539114924972,-0.15858634506581507,0.012600993520530688,0.0392140657677251,-0.16620653837615484,0.03333091838163153,-0.04132051074360028,-0.0015370908076608977,-0.08281184819948116,0.15421433253304018,0.011347574841985675,-0.06808795747753008,0.17322745622963795,0.03992018152240966,-0.00048324948231245077,-0.08803454241515907,-0.023625177871644813,-0.047975450615844344,0.007282340153771188,-0.04795271905500401,-0.06584203259018484,-0.01967602940685028,-0.06580320053409927,1.0,0.185465250777659,0.9999549264752263,0.9201114579857034,0.1164545306378103,0.0073636779753335985,0.14482828954768678,0.11503646816740096,0.14480495961046547,0.11623579531413789,0.1494959606517664,0.07428885479882048,0.0057498880557656,0.14720464410114686,0.07281156913803634,0.12277663765637671,0.05662029184050578,0.11462107206093512,0.006954045198407112,-0.017231863853996048,-0.03940366705778512,0.005517679600948915,-0.13615083286650337,-0.08623987355732345,0.016428924891554588,-0.006920030516838877,-0.008812520729431318,-0.0020831134346204054
