dataset,variable,dtype,role,anomaly_model_allowed,downstream_model_allowed,missing_cells,unique_values
CIC-MalMem-2022,psxview.not_in_pspcid_list_false_avg,float64,Modeling feature,True,True,0,9678
CIC-MalMem-2022,psxview.not_in_csrss_handles_false_avg,float64,Modeling feature,True,True,0,11800
CIC-MalMem-2022,psxview.not_in_session_false_avg,float64,Modeling feature,True,True,0,11913
CIC-MalMem-2022,psxview.not_in_deskthrd_false_avg,float64,Modeling feature,True,True,0,12037
CIC-MalMem-2022,modules.nmodules,float64,Modeling feature,True,True,0,2286
CIC-MalMem-2022,svcscan.nservices,float64,Modeling feature,True,True,0,2310
CIC-MalMem-2022,svcscan.kernel_drivers,float64,Modeling feature,True,True,970,31
CIC-MalMem-2022,svcscan.fs_drivers,int64,Modeling feature,True,True,0,10
CIC-MalMem-2022,svcscan.process_services,int64,Modeling feature,True,True,0,14
CIC-MalMem-2022,svcscan.shared_process_services,int64,Modeling feature,True,True,0,23
CIC-MalMem-2022,svcscan.interactive_process_services,int64,Constant feature — excluded from modeling,False,False,0,1
CIC-MalMem-2022,svcscan.nactive,float64,Modeling feature,True,True,0,2326
CIC-MalMem-2022,callbacks.ncallbacks,float64,Modeling feature,True,True,0,2299
CIC-MalMem-2022,callbacks.nanonymous,int64,Modeling feature,True,True,0,2
CIC-MalMem-2022,callbacks.ngeneric,int64,Modeling feature,True,True,0,2
CIC-MalMem-2022,attack_type,str,Attack mechanism metadata,False,False,0,8
CIC-MalMem-2022,original_label,str,Reference/original label,False,False,0,4
CIC-MalMem-2022,source_index,int64,Source/provenance metadata,False,False,0,2343
CIC-MalMem-2022,poisoned,int64,Evaluation target,False,False,0,2
Android / CICMalDroid2020 structure,ACCESS_PERSONAL_INFO___,float64,Modeling feature,True,True,0,304
Android / CICMalDroid2020 structure,ALTER_PHONE_STATE___,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,ANTI_DEBUG_____,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,CREATE_FOLDER_____,float64,Modeling feature,True,True,0,62
Android / CICMalDroid2020 structure,CREATE_PROCESS`_____,float64,Modeling feature,True,True,0,43
Android / CICMalDroid2020 structure,CREATE_THREAD_____,float64,Modeling feature,True,True,0,197
Android / CICMalDroid2020 structure,DEVICE_ACCESS_____,float64,Modeling feature,True,True,0,319
Android / CICMalDroid2020 structure,EXECUTE_____,float64,Modeling feature,True,True,0,73
Android / CICMalDroid2020 structure,FS_ACCESS____,float64,Modeling feature,True,True,0,608
Android / CICMalDroid2020 structure,FS_ACCESS()____,float64,Modeling feature,True,True,0,136
Android / CICMalDroid2020 structure,FS_ACCESS(CREATE)____,float64,Modeling feature,True,True,0,237
Android / CICMalDroid2020 structure,FS_ACCESS(CREATE__APPEND)__,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,FS_ACCESS(CREATE__READ)__,float64,Modeling feature,True,True,0,24
Android / CICMalDroid2020 structure,FS_ACCESS(CREATE__READ__WRITE),float64,Modeling feature,True,True,0,29
Android / CICMalDroid2020 structure,FS_ACCESS(CREATE__WRITE)__,float64,Modeling feature,True,True,0,200
Android / CICMalDroid2020 structure,FS_ACCESS(CREATE__WRITE__APPEND),float64,Modeling feature,True,True,0,37
Android / CICMalDroid2020 structure,FS_ACCESS(READ)____,float64,Modeling feature,True,True,0,1133
Android / CICMalDroid2020 structure,FS_ACCESS(READ__WRITE)__,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,FS_ACCESS(WRITE)____,float64,Modeling feature,True,True,0,75
Android / CICMalDroid2020 structure,FS_PIPE_ACCESS___,float64,Modeling feature,True,True,0,73
Android / CICMalDroid2020 structure,FS_PIPE_ACCESS()___,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,FS_PIPE_ACCESS(READ)___,float64,Modeling feature,True,True,0,64
Android / CICMalDroid2020 structure,FS_PIPE_ACCESS(READ__)_,float64,Modeling feature,True,True,0,31
Android / CICMalDroid2020 structure,FS_PIPE_ACCESS(READ__WRITE)_,float64,Modeling feature,True,True,0,34
Android / CICMalDroid2020 structure,FS_PIPE_ACCESS(WRITE)___,float64,Modeling feature,True,True,0,51
Android / CICMalDroid2020 structure,NETWORK_ACCESS____,float64,Modeling feature,True,True,0,74
Android / CICMalDroid2020 structure,NETWORK_ACCESS()____,float64,Modeling feature,True,True,0,95
Android / CICMalDroid2020 structure,NETWORK_ACCESS(READ)____,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,NETWORK_ACCESS(READ__WRITE)__,float64,Modeling feature,True,True,0,126
Android / CICMalDroid2020 structure,NETWORK_ACCESS(READ__WRITE__),float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,NETWORK_ACCESS(WRITE)____,float64,Modeling feature,True,True,0,113
Android / CICMalDroid2020 structure,NETWORK_ACCESS(WRITE__)__,float64,Modeling feature,True,True,0,16
Android / CICMalDroid2020 structure,SMS_SEND____,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,TERMINATE_PROCESS,float64,Modeling feature,True,True,0,41
Android / CICMalDroid2020 structure,TERMINATE_THREAD,float64,Modeling feature,True,True,0,147
Android / CICMalDroid2020 structure,__arm_nr_cacheflush,float64,Modeling feature,True,True,0,940
Android / CICMalDroid2020 structure,__arm_nr_set_tls,float64,Modeling feature,True,True,0,212
Android / CICMalDroid2020 structure,_llseek,float64,Modeling feature,True,True,0,1233
Android / CICMalDroid2020 structure,_newselect,float64,Modeling feature,True,True,0,246
Android / CICMalDroid2020 structure,accept,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,access,float64,Modeling feature,True,True,0,1014
Android / CICMalDroid2020 structure,add,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,addAccessibilityInteractionConnection,float64,Modeling feature,True,True,0,30
Android / CICMalDroid2020 structure,addAccountExplicitly,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,addClient,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,addPeriodicSync,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,addStatusChangeListener,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,addToDisplay,float64,Modeling feature,True,True,0,48
Android / CICMalDroid2020 structure,addToDisplayWithoutInputChannel,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,addWithoutInputChannel,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,attachEngine,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,beginRestoreSession,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,bind,float64,Modeling feature,True,True,0,137
Android / CICMalDroid2020 structure,brk,float64,Modeling feature,True,True,0,974
Android / CICMalDroid2020 structure,cancelAllNotifications,float64,Modeling feature,True,True,0,8
Android / CICMalDroid2020 structure,cancelNotificationWithTag,float64,Modeling feature,True,True,0,22
Android / CICMalDroid2020 structure,cancelSync,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,cancelToast,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,cancelVibrate,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,capset,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,chdir,float64,Modeling feature,True,True,0,14
Android / CICMalDroid2020 structure,checkOperation,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,checkPackage,float64,Modeling feature,True,True,0,16
Android / CICMalDroid2020 structure,checkPermission,float64,Modeling feature,True,True,0,76
Android / CICMalDroid2020 structure,checkSignatures,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,chmod,float64,Modeling feature,True,True,0,196
Android / CICMalDroid2020 structure,chown32,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,clock_getres,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,clock_gettime,float64,Modeling feature,True,True,360,5718
Android / CICMalDroid2020 structure,clone,float64,Modeling feature,True,True,0,197
Android / CICMalDroid2020 structure,close,float64,Modeling feature,True,True,0,1829
Android / CICMalDroid2020 structure,collapsePanels,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,connect,float64,Modeling feature,True,True,0,189
Android / CICMalDroid2020 structure,currentToCanonicalPackageNames,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,dataChanged,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,deleteHost,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,disconnect,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,displayCompletions,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,dup,float64,Modeling feature,True,True,0,246
Android / CICMalDroid2020 structure,dup2,float64,Modeling feature,True,True,0,44
Android / CICMalDroid2020 structure,endRestoreSession,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,engineShown,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,enqueueNotificationWithTag,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,enqueueToast,float64,Modeling feature,True,True,0,21
Android / CICMalDroid2020 structure,epoll_create,float64,Modeling feature,True,True,0,37
Android / CICMalDroid2020 structure,epoll_ctl,float64,Modeling feature,True,True,0,268
Android / CICMalDroid2020 structure,epoll_wait,float64,Modeling feature,True,True,0,3202
Android / CICMalDroid2020 structure,eventfd2,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,execve,float64,Modeling feature,True,True,0,73
Android / CICMalDroid2020 structure,exit,float64,Modeling feature,True,True,0,147
Android / CICMalDroid2020 structure,exit_group,float64,Modeling feature,True,True,0,41
Android / CICMalDroid2020 structure,faccessat,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,fchmod,float64,Modeling feature,True,True,0,24
Android / CICMalDroid2020 structure,fchown32,float64,Modeling feature,True,True,0,432
Android / CICMalDroid2020 structure,fcntl,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,fcntl64,float64,Modeling feature,True,True,0,1565
Android / CICMalDroid2020 structure,fdatasync,float64,Modeling feature,True,True,0,212
Android / CICMalDroid2020 structure,finishDrawing,float64,Modeling feature,True,True,0,64
Android / CICMalDroid2020 structure,finishInput,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,finishSpellCheckerService,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,flock,float64,Modeling feature,True,True,0,40
Android / CICMalDroid2020 structure,fork,float64,Modeling feature,True,True,0,43
Android / CICMalDroid2020 structure,fstat64,float64,Modeling feature,True,True,0,1782
Android / CICMalDroid2020 structure,fstatfs64,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,fsync,float64,Modeling feature,True,True,0,139
Android / CICMalDroid2020 structure,ftruncate,float64,Modeling feature,True,True,0,245
Android / CICMalDroid2020 structure,ftruncate64,float64,Modeling feature,True,True,0,20
Android / CICMalDroid2020 structure,futex,float64,Modeling feature,True,True,0,4614
Android / CICMalDroid2020 structure,geocoderIsPresent,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getAccounts,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,getAccountsAsUser,float64,Modeling feature,True,True,0,22
Android / CICMalDroid2020 structure,getActiveAdmins,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getActiveNetworkInfo,float64,Modeling feature,True,True,0,194
Android / CICMalDroid2020 structure,getActivePhoneType,float64,Modeling feature,True,True,0,96
Android / CICMalDroid2020 structure,getActivityInfo,float64,Modeling feature,True,True,0,40
Android / CICMalDroid2020 structure,getAllCellInfo,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,getAllNetworkInfo,float64,Modeling feature,True,True,0,48
Android / CICMalDroid2020 structure,getAllPkgUsageStats,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getAllProviders,float64,Modeling feature,True,True,0,14
Android / CICMalDroid2020 structure,getAnimationScale,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getAppWidgetIds,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,getAppWidgetInfo,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getApplicationEnabledSetting,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,getApplicationInfo,float64,Modeling feature,True,True,0,115
Android / CICMalDroid2020 structure,getApplicationRestrictions,float64,Modeling feature,True,True,0,24
Android / CICMalDroid2020 structure,getAuthenticatorTypes,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getBestProvider,float64,Modeling feature,True,True,0,9
Android / CICMalDroid2020 structure,getBoolean,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getCallState,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,getCameraDisabled,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getCameraInfo,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,getCellLocation,float64,Modeling feature,True,True,0,55
Android / CICMalDroid2020 structure,getClientDefaultLanguage,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getComponentEnabledSetting,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,getConfiguredNetworks,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getConnectionInfo,float64,Modeling feature,True,True,0,110
Android / CICMalDroid2020 structure,getCurrentInputMethodSubtype,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getCurrentModeType,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getCurrentSpellChecker,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,getCurrentSpellCheckerSubtype,float64,Modeling feature,True,True,0,65
Android / CICMalDroid2020 structure,getDataActivity,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getDataNetworkType,float64,Modeling feature,True,True,0,73
Android / CICMalDroid2020 structure,getDataState,float64,Modeling feature,True,True,0,9
Android / CICMalDroid2020 structure,getDeviceId,float64,Modeling feature,True,True,0,115
Android / CICMalDroid2020 structure,getDeviceList,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getDeviceOwner,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getDeviceSvn,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,getDhcpInfo,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getDisplayFrame,float64,Modeling feature,True,True,0,16
Android / CICMalDroid2020 structure,getDisplayIds,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getDisplayInfo,float64,Modeling feature,True,True,0,158
Android / CICMalDroid2020 structure,getEnabledAccessibilityServiceList,float64,Modeling feature,True,True,0,22
Android / CICMalDroid2020 structure,getEnabledInputMethodList,float64,Modeling feature,True,True,0,16
Android / CICMalDroid2020 structure,getEnabledInputMethodSubtypeList,float64,Modeling feature,True,True,0,13
Android / CICMalDroid2020 structure,getFlashlightEnabled,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getFromLocation,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,getGlobalSearchActivity,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getGroupIdLevel1,float64,Constant feature — excluded from modeling,False,False,0,1
Android / CICMalDroid2020 structure,getHeightHint,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getIccSerialNumber,float64,Modeling feature,True,True,0,72
Android / CICMalDroid2020 structure,getInTouchMode,float64,Modeling feature,True,True,0,51
Android / CICMalDroid2020 structure,getInputDevice,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,getInputDeviceIds,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getInputMethodList,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,getInstallLocation,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getInstalledApplications,float64,Modeling feature,True,True,0,16
Android / CICMalDroid2020 structure,getInstalledPackages,float64,Modeling feature,True,True,0,25
Android / CICMalDroid2020 structure,getInstalledProviders,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getInstallerPackageName,float64,Modeling feature,True,True,0,29
Android / CICMalDroid2020 structure,getIsSyncable,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getLastChosenActivity,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getLastInputMethodSubtype,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getLastLocation,float64,Modeling feature,True,True,0,40
Android / CICMalDroid2020 structure,getLine1Number,float64,Modeling feature,True,True,0,43
Android / CICMalDroid2020 structure,getLong,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getMasterSyncAutomatically,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getMessenger,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getMobileDataEnabled,float64,Modeling feature,True,True,0,9
Android / CICMalDroid2020 structure,getMobileIfaces,float64,Modeling feature,True,True,0,8
Android / CICMalDroid2020 structure,getMode,float64,Modeling feature,True,True,0,19
Android / CICMalDroid2020 structure,getNameForUid,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,getNeighboringCellInfo,float64,Modeling feature,True,True,0,18
Android / CICMalDroid2020 structure,getNetworkInfo,float64,Modeling feature,True,True,0,62
Android / CICMalDroid2020 structure,getNetworkPreference,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getNightMode,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,getNumberOfCameras,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,getPackageGids,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getPackageInfo,float64,Modeling feature,True,True,0,186
Android / CICMalDroid2020 structure,getPackageSizeInfo,float64,Modeling feature,True,True,0,12
Android / CICMalDroid2020 structure,getPackagesForUid,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,getPassword,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getPermissionGroupInfo,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getPermissionInfo,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getPreferredActivities,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getPreferredPackages,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getPrimaryClip,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getProviderInfo,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getProviderProperties,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,getProviders,float64,Modeling feature,True,True,0,13
Android / CICMalDroid2020 structure,getProxy,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getReceiverInfo,float64,Modeling feature,True,True,0,20
Android / CICMalDroid2020 structure,getRingerMode,float64,Modeling feature,True,True,0,20
Android / CICMalDroid2020 structure,getRingtonePlayer,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getScanResults,float64,Modeling feature,True,True,0,15
Android / CICMalDroid2020 structure,getSearchableInfo,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,getSearchablesInGlobalSearch,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getServiceInfo,float64,Modeling feature,True,True,0,28
Android / CICMalDroid2020 structure,getSpellCheckerService,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,getState,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getStorageEncryptionStatus,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,getStreamMaxVolume,float64,Modeling feature,True,True,0,16
Android / CICMalDroid2020 structure,getStreamVolume,float64,Modeling feature,True,True,0,39
Android / CICMalDroid2020 structure,getString,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getSubscriberId,float64,Modeling feature,True,True,0,110
Android / CICMalDroid2020 structure,getSyncAutomatically,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getSystemAvailableFeatures,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getSystemSharedLibraryNames,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,getTetheredIfaces,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getUserData,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getUserIcon,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getUserRestrictions,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getUserSerialNumber,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getUsers,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getVibrateSetting,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getVoiceMailAlphaTag,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getVoiceMailNumber,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getWallpaper,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getWallpaperInfo,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,getWidthHint,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,getWifiApConfiguration,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getWifiApEnabledState,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,getWifiDisplayStatus,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getWifiEnabledState,float64,Modeling feature,True,True,0,33
Android / CICMalDroid2020 structure,getWifiServiceMessenger,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getcwd,float64,Modeling feature,True,True,0,22
Android / CICMalDroid2020 structure,getdents64,float64,Modeling feature,True,True,0,248
Android / CICMalDroid2020 structure,getegid32,float64,Modeling feature,True,True,0,19
Android / CICMalDroid2020 structure,geteuid32,float64,Modeling feature,True,True,0,25
Android / CICMalDroid2020 structure,getgid32,float64,Modeling feature,True,True,0,19
Android / CICMalDroid2020 structure,getgroups32,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,getpeername,float64,Modeling feature,True,True,0,8
Android / CICMalDroid2020 structure,getpgid,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,getpid,float64,Modeling feature,True,True,0,3390
Android / CICMalDroid2020 structure,getppid,float64,Modeling feature,True,True,0,25
Android / CICMalDroid2020 structure,getpriority,float64,Modeling feature,True,True,0,471
Android / CICMalDroid2020 structure,getresgid32,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getresuid32,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,getrusage,float64,Modeling feature,True,True,0,20
Android / CICMalDroid2020 structure,getsockname,float64,Modeling feature,True,True,0,186
Android / CICMalDroid2020 structure,getsockopt,float64,Modeling feature,True,True,0,372
Android / CICMalDroid2020 structure,gettid,float64,Modeling feature,True,True,0,819
Android / CICMalDroid2020 structure,gettimeofday,float64,Modeling feature,True,True,282,2928
Android / CICMalDroid2020 structure,getuid32,float64,Modeling feature,True,True,0,3533
Android / CICMalDroid2020 structure,hasClipboardText,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,hasIccCard,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,hasKeys,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,hasNamedWallpaper,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,hasNavigationBar,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,hasPrimaryClip,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,hasSystemFeature,float64,Modeling feature,True,True,0,40
Android / CICMalDroid2020 structure,hasVibrator,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,hideSoftInput,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,inKeyguardRestrictedInputMode,float64,Modeling feature,True,True,0,17
