,count,mean,std,min,25%,50%,75%,max,missing_count,skewness
SMS_SEND____,11598.0,0.046301086394205895,0.9552429634952889,0.0,0.0,0.0,0.0,69.0,0,65.29703150572118
TERMINATE_PROCESS,11598.0,0.9173133298844628,3.9669639425806307,0.0,0.0,0.0,0.0,132.0,0,13.343356351194767
TERMINATE_THREAD,11598.0,9.516899465425073,22.02695791197636,0.0,1.0,3.0,10.0,1318.0,0,21.528354267915486
__arm_nr_cacheflush,11598.0,1081.5514780145927,4410.989114499707,0.0,0.0,0.0,0.0,117361.0,0,9.908170170477133
__arm_nr_set_tls,11598.0,30.457751336437315,33.54426881012004,0.0,10.0,17.0,39.0,1332.0,0,7.3257473198975696
_llseek,11598.0,212.38398477917693,3024.0343553735834,0.0,6.0,6.0,34.0,85639.29023863976,0,20.338697510440387
_newselect,11598.0,53.236851181238144,917.0605350062212,0.0,0.0,0.0,0.0,55702.0,0,37.14421802321969
accept,11598.0,0.002586652871184687,0.06428304687769827,0.0,0.0,0.0,0.0,3.0,0,29.099345129027505
access,11598.0,306.0732884980169,1627.7768250688302,0.0,8.0,22.0,96.0,16367.0,0,8.099026277190534
add,11598.0,8.62217623728229e-05,0.009285567423309297,0.0,0.0,0.0,0.0,1.0,0,107.69401097554125
addAccessibilityInteractionConnection,11598.0,0.5614761165718227,3.06030993499671,0.0,0.0,0.0,1.0,187.0,0,29.231774320833697
addAccountExplicitly,11598.0,0.0012071046732195206,0.034723933152072776,0.0,0.0,0.0,0.0,1.0,0,28.734010146948847
addClient,11598.0,0.8743748922227971,0.3332568387080923,0.0,1.0,1.0,1.0,2.0,0,-2.210431512559655
addPeriodicSync,11598.0,0.0007759958613554061,0.027847092368039547,0.0,0.0,0.0,0.0,1.0,0,35.860843231625104
addStatusChangeListener,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0,0,76.14131428669309
addToDisplay,11598.0,2.2184859458527333,4.438968017732047,0.0,0.0,1.0,3.0,184.0,0,11.603879960777276
addToDisplayWithoutInputChannel,11598.0,0.05750991550267288,0.2998434368218389,0.0,0.0,0.0,0.0,10.0,0,8.922359014057166
addWithoutInputChannel,11598.0,0.0004311088118641145,0.02075957887812497,0.0,0.0,0.0,0.0,1.0,0,48.13730147418501
attachEngine,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0,0,76.14131428669309
beginRestoreSession,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0,0,76.14131428669309
bind,11598.0,6.9123124676668395,29.8277597323244,0.0,0.0,1.0,5.0,1490.0,0,25.659598089320017
brk,11598.0,173.0313847215037,283.1770754565969,0.0,31.0,73.0,216.0,7699.0,0,6.760580560573059
cancelAllNotifications,11598.0,0.014830143128125538,0.2941540757486658,0.0,0.0,0.0,0.0,25.0,0,60.04151457806808
cancelNotificationWithTag,11598.0,0.13338506639075703,2.1831042263981666,0.0,0.0,0.0,0.0,194.0,0,63.12566975189909
cancelSync,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
cancelToast,11598.0,0.0004311088118641145,0.02456457835195712,0.0,0.0,0.0,0.0,2.0,0,63.949400075548645
cancelVibrate,11598.0,0.0005173305742369374,0.02936025064710961,0.0,0.0,0.0,0.0,2.0,0,61.28411641791332
capset,11598.0,0.9829280910501811,0.1295449954267842,0.0,1.0,1.0,1.0,1.0,0,-7.457044274760662
chdir,11598.0,0.0760475944128298,2.494193066575322,0.0,0.0,0.0,0.0,216.0,0,71.07887794841423
checkOperation,11598.0,0.11019141231246767,0.5234169293928608,0.0,0.0,0.0,0.0,4.0,0,5.028079001403485
checkPackage,11598.0,0.07992757371960683,1.310898037150992,0.0,0.0,0.0,0.0,119.0,0,69.55636950460877
checkPermission,11598.0,2.203483359199862,35.73805974464279,0.0,0.0,0.0,0.0,3460.0,0,83.42698636535687
checkSignatures,11598.0,0.02793585100879462,1.483517234143968,0.0,0.0,0.0,0.0,137.0,0,76.79242904538312
chmod,11598.0,13.226763235040524,33.034403994343826,0.0,1.0,4.0,11.0,1572.0,0,18.230064138213933
chown32,11598.0,0.0006035523366097603,0.06499897196316509,0.0,0.0,0.0,0.0,7.0,0,107.69401097554126
clock_getres,11598.0,0.0006035523366097603,0.02456094610573896,0.0,0.0,0.0,0.0,1.0,0,40.67291040416061
clock_gettime,11238.0,941636.2939829377,3268749.348455036,0.0,282.25,1939.4928478544552,20166.25,12807830.0,360,3.327330260363237
clone,11598.0,29.661407139161923,31.74354170421408,0.0,10.0,17.0,39.0,1332.0,0,8.223919099760824
close,11598.0,454.94568028970514,1251.729120854861,0.0,34.0,77.0,569.0,67329.0,0,21.94605199343967
collapsePanels,11598.0,0.000862217623728229,0.07656919698341311,0.0,0.0,0.0,0.0,8.0,0,99.86731925833567
connect,11598.0,13.11182962579755,41.85838021084428,0.0,1.0,3.0,12.0,1826.0,0,21.781204795720807
currentToCanonicalPackageNames,11598.0,0.007501293326435592,0.4560863718692582,0.0,0.0,0.0,0.0,37.0,0,70.04115746241897
dataChanged,11598.0,0.004397309881013968,0.22185025040143433,0.0,0.0,0.0,0.0,18.0,0,66.73887895544085
deleteHost,11598.0,0.000862217623728229,0.029352146237143016,0.0,0.0,0.0,0.0,1.0,0,34.01617491727893
disconnect,11598.0,0.005776858078979134,0.12129228234039717,0.0,0.0,0.0,0.0,10.0,0,52.97323724983489
displayCompletions,11598.0,0.006897740989825832,0.123698076659469,0.0,0.0,0.0,0.0,5.0,0,24.802648450535937
dup,11598.0,21.252112433178134,114.402719844299,0.0,2.0,9.0,22.0,10282.0,0,68.42173783694288
dup2,11598.0,1.825745818244525,9.809027700471495,0.0,0.0,0.0,0.0,396.0,0,18.56480697275864
endRestoreSession,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0,0,76.14131428669309
engineShown,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554125
enqueueNotificationWithTag,11598.0,0.04604242110708743,1.4473429207760926,0.0,0.0,0.0,0.0,150.0,0,96.80236400658175
enqueueToast,11598.0,0.7052077944473185,19.070961429389726,0.0,0.0,0.0,0.0,770.0,0,32.628160590629854
epoll_create,11598.0,4.099844800827729,5.0371764391687925,0.0,1.0,1.0,8.0,224.0,0,9.720479719671149
epoll_ctl,11598.0,16.615106052767718,44.117893585239464,0.0,1.0,6.0,18.0,1542.0,0,12.098503922245811
epoll_wait,11598.0,2863.0505259527504,9854.291188994353,0.0,19.0,151.0,927.5,410669.0,0,14.577648206776194
eventfd2,11598.0,0.0020693222969477496,0.125257460566281,0.0,0.0,0.0,0.0,12.0,0,81.31365176410847
execve,11598.0,2.2621141576133814,10.517214986319026,0.0,0.0,0.0,0.0,399.0,0,16.243506194533307
exit,11598.0,9.517761683048802,22.02710990677919,0.0,1.0,3.0,10.0,1318.0,0,21.527798048585897
exit_group,11598.0,0.9164511122607346,3.9652717790560215,0.0,0.0,0.0,0.0,132.0,0,13.358317793219122
faccessat,11598.0,8.62217623728229e-05,0.009285567423309297,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
fchmod,11598.0,1.0972581479565442,2.4321488805247093,0.0,0.0,0.0,1.0,39.0,0,3.4208042791246376
fchown32,11598.0,33.22529746508019,184.36159744240027,0.0,0.0,0.0,10.0,8301.0,0,24.56104798447227
fcntl,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
fcntl64,11598.0,364.77099499913777,1465.6311680239232,0.0,7.0,43.0,286.75,61766.0,0,20.653928175496898
fdatasync,11598.0,37.17942748749785,221.23978892158928,0.0,0.0,0.0,20.0,13240.0,0,31.358504525639248
finishDrawing,11598.0,3.5494050698396276,6.473253325327542,0.0,0.0,2.0,4.0,263.0,0,9.47450757705947
finishInput,11598.0,0.043197102948784274,0.3271717063950301,0.0,0.0,0.0,0.0,12.0,0,20.04395987544086
finishSpellCheckerService,11598.0,0.0037937575444042075,0.0730192877903848,0.0,0.0,0.0,0.0,3.0,0,22.882232891957543
flock,11598.0,3.0596654595619937,5.238328831372456,0.0,2.0,2.0,2.0,334.0,0,31.66443633451295
fork,11598.0,0.9875840662183135,4.258385375204319,0.0,0.0,0.0,0.0,140.0,0,13.337616600830092
fstat64,11598.0,430.76220037937577,1177.6049920502935,0.0,14.0,53.0,585.0,41684.0,0,13.909245678743527
fstatfs64,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554123
fsync,11598.0,7.8400586307984135,21.029751216141975,0.0,0.0,1.0,6.0,1197.0,0,19.48712331094351
ftruncate,11598.0,9.615537161579583,67.91923433030938,0.0,0.0,0.0,0.0,1764.0,0,11.666371311472501
ftruncate64,11598.0,0.23072943610967409,1.273517852931728,0.0,0.0,0.0,0.0,52.0,0,11.351263760240345
futex,11598.0,3269.91924900747,13434.819324522674,0.0,103.0,398.0,2213.75,359838.0,0,10.484524898539565
geocoderIsPresent,11598.0,0.0005173305742369374,0.026259587271104473,0.0,0.0,0.0,0.0,2.0,0,57.094902421766115
getAccounts,11598.0,0.021641662355578548,0.23992467106115167,0.0,0.0,0.0,0.0,6.0,0,14.447132035066296
getAccountsAsUser,11598.0,0.06268322124504225,1.404836166424028,0.0,0.0,0.0,0.0,106.0,0,50.506756536272285
getActiveAdmins,11598.0,0.7175375064666322,77.24663466644215,0.0,0.0,0.0,0.0,8319.0,0,107.69400397346207
getActiveNetworkInfo,11598.0,77.64330056906363,1171.6553465992,0.0,0.0,0.0,6.0,35812.0,0,18.59711077095151
getActivePhoneType,11598.0,3.2821176064838764,19.06236369611107,0.0,0.0,0.0,2.0,1208.0,0,43.49113503742935
getActivityInfo,11598.0,0.9199862045180204,3.141976141286667,0.0,0.0,0.0,1.0,145.0,0,17.618381309367066
getAllCellInfo,11598.0,0.014312812553888601,0.39129354500777824,0.0,0.0,0.0,0.0,18.0,0,34.64336837481036
getAllNetworkInfo,11598.0,1.2047766856354545,6.052817562585566,0.0,0.0,0.0,0.0,150.0,0,6.216545775143639
getAllPkgUsageStats,11598.0,8.62217623728229e-05,0.009285567423309297,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
getAllProviders,11598.0,0.029487842731505433,0.8491414671078131,0.0,0.0,0.0,0.0,53.0,0,46.88849875245173
getAnimationScale,11598.0,0.6807208139334368,0.4678791019201248,0.0,0.0,1.0,1.0,3.0,0,-0.7475960401892251
getAppWidgetIds,11598.0,0.04724952578030695,0.710246473126623,0.0,0.0,0.0,0.0,29.0,0,25.820834403650466
getAppWidgetInfo,11598.0,0.0001724435247456458,0.018571134846618598,0.0,0.0,0.0,0.0,2.0,0,107.69401097554123
getApplicationEnabledSetting,11598.0,0.01784790481117434,1.0005304053256139,0.0,0.0,0.0,0.0,68.0,0,63.105166057039845
getApplicationInfo,11598.0,5.448870494912916,70.99824999950671,0.0,0.0,1.0,3.0,4886.0,0,57.36131699250524
getApplicationRestrictions,11598.0,0.10070701845145714,0.8792970199695322,0.0,0.0,0.0,0.0,29.0,0,15.697475871690855
getAuthenticatorTypes,11598.0,0.0006035523366097603,0.05648111179672575,0.0,0.0,0.0,0.0,6.0,0,103.8353362290271
getBestProvider,11598.0,0.03121227797896189,0.3080788486598887,0.0,0.0,0.0,0.0,11.0,0,16.955252450890082
getBoolean,11598.0,0.0002586652871184687,0.02076244379957981,0.0,0.0,0.0,0.0,2.0,0,86.68602547264082
getCallState,11598.0,0.005000862217623728,0.09726356416092312,0.0,0.0,0.0,0.0,4.0,0,24.965235549674603
getCameraDisabled,11598.0,0.0001724435247456458,0.018571134846618598,0.0,0.0,0.0,0.0,2.0,0,107.69401097554123
getCameraInfo,11598.0,0.020865666494223143,0.424415510283677,0.0,0.0,0.0,0.0,35.0,0,55.10770902316265
getCellLocation,11598.0,0.9412829798241076,5.683126169502647,0.0,0.0,0.0,0.0,165.0,0,12.015976898322577
getClientDefaultLanguage,11598.0,0.003362648732540093,0.07706170401502271,0.0,0.0,0.0,0.0,3.0,0,27.572238839439738
getComponentEnabledSetting,11598.0,0.028711846870150024,1.067096246757582,0.0,0.0,0.0,0.0,110.0,0,95.22840821378983
getConfiguredNetworks,11598.0,0.0013795481979651664,0.058713410486098266,0.0,0.0,0.0,0.0,4.0,0,57.879857531109124
getConnectionInfo,11598.0,89.12536644249009,3015.470540188709,0.0,0.0,0.0,0.0,141933.0,0,43.31702114929795
getCurrentInputMethodSubtype,11598.0,0.0006035523366097603,0.06499897196316508,0.0,0.0,0.0,0.0,7.0,0,107.69401097554132
getCurrentModeType,11598.0,0.005431971029487843,0.38361925235494704,0.0,0.0,0.0,0.0,41.0,0,105.29763306946089
getCurrentSpellChecker,11598.0,0.09596482152095188,0.4912084860916129,0.0,0.0,0.0,0.0,18.0,0,10.458854224333859
getCurrentSpellCheckerSubtype,11598.0,0.8784273150543197,5.686156659446406,0.0,0.0,0.0,0.0,184.0,0,14.507703743310907
getDataActivity,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
getDataNetworkType,11598.0,40.078116916709774,688.1849872193782,0.0,0.0,0.0,0.0,15277.0,0,18.06613301001983
getDataState,11598.0,0.024573202276254525,1.8770980705014275,0.0,0.0,0.0,0.0,201.0,0,105.90485148229212
getDeviceId,11598.0,22.919037765131918,343.86429321665366,0.0,0.0,0.0,3.0,7640.0,0,18.046002045712154
getDeviceList,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0,0,76.14131428669309
getDeviceOwner,11598.0,0.016727021900327644,0.18167182702219076,0.0,0.0,0.0,0.0,3.0,0,10.884598545001321
getDeviceSvn,11598.0,0.012243490256940852,0.1469007886849627,0.0,0.0,0.0,0.0,6.0,0,17.324100788548435
getDhcpInfo,11598.0,0.0012071046732195206,0.08710173435016375,0.0,0.0,0.0,0.0,9.0,0,96.53693591828183
getDisplayFrame,11598.0,0.11605449215381962,8.026771357994603,0.0,0.0,0.0,0.0,857.0,0,105.0913140566534
getDisplayIds,11598.0,0.003966201069149853,0.06937653015375442,0.0,0.0,0.0,0.0,3.0,0,21.007271899289393
getDisplayInfo,11598.0,30.993360924297292,352.04040714315045,0.0,6.0,7.0,9.0,7650.0,0,17.527409394641044
getEnabledAccessibilityServiceList,11598.0,0.9353336782203828,22.83752235629351,0.0,0.0,0.0,0.0,594.0,0,24.65149215277687
getEnabledInputMethodList,11598.0,0.0493188480772547,3.304888704982947,0.0,0.0,0.0,0.0,353.0,0,105.11710557478571
getEnabledInputMethodSubtypeList,11598.0,0.013795481979651664,0.3240513676220853,0.0,0.0,0.0,0.0,14.0,0,28.881762759105282
getFlashlightEnabled,11598.0,0.0003448870494912916,0.026262418401887033,0.0,0.0,0.0,0.0,2.0,0,76.14131428669307
getFromLocation,11598.0,0.0046559751681324365,0.17465238571784172,0.0,0.0,0.0,0.0,16.0,0,72.08816910429833
getGlobalSearchActivity,11598.0,0.0015519917227108122,0.10255512260802707,0.0,0.0,0.0,0.0,8.0,0,70.47677259658579
getGroupIdLevel1,11598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
getHeightHint,11598.0,0.007242628039317123,0.08680846254840528,0.0,0.0,0.0,0.0,2.0,0,12.405598200282896
getIccSerialNumber,11598.0,1.7561648560096568,7.882820970269635,0.0,0.0,0.0,0.0,129.0,0,6.974403015900876
getInTouchMode,11598.0,0.9874978444559407,3.644161922192048,0.0,0.0,0.0,0.0,95.0,0,9.091315970632824
getInputDevice,11598.0,0.2886704604242111,0.46313910102135003,0.0,0.0,0.0,1.0,5.0,0,1.1796240005083856
getInputDeviceIds,11598.0,0.2854802552164166,0.4516623387442526,0.0,0.0,0.0,1.0,1.0,0,0.9500758655293393
getInputMethodList,11598.0,0.00594930160372478,0.4615592584434542,0.0,0.0,0.0,0.0,49.0,0,103.48927954994001
getInstallLocation,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554125
getInstalledApplications,11598.0,0.13278151405414726,3.5386423760166466,0.0,0.0,0.0,0.0,182.0,0,44.887986613960614
getInstalledPackages,11598.0,0.44507673736851183,3.850201360982173,0.0,0.0,0.0,0.0,183.0,0,34.42631858473587
getInstalledProviders,11598.0,0.000862217623728229,0.039387587719686784,0.0,0.0,0.0,0.0,2.0,0,47.92201438923518
getInstallerPackageName,11598.0,0.3541989998275565,6.470187204002205,0.0,0.0,0.0,0.0,637.0,0,84.06905595673432
getIsSyncable,11598.0,8.62217623728229e-05,0.009285567423309297,0.0,0.0,0.0,0.0,1.0,0,107.69401097554125
getLastChosenActivity,11598.0,0.0002586652871184687,0.01608168766387291,0.0,0.0,0.0,0.0,1.0,0,62.16107875993707
getLastInputMethodSubtype,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554125
getLastLocation,11598.0,0.29349887911708916,2.2066032780467535,0.0,0.0,0.0,0.0,80.0,0,16.532979204886033
getLine1Number,11598.0,25.249094671495087,282.26120996300506,0.0,0.0,0.0,1.0,3550.0,0,11.796674256569217
getLong,11598.0,0.0005173305742369374,0.04152488759915962,0.0,0.0,0.0,0.0,4.0,0,86.68602547264082
getMasterSyncAutomatically,11598.0,0.0019831005345749267,0.09956116035818025,0.0,0.0,0.0,0.0,6.0,0,57.52992526133991
getMessenger,11598.0,0.0004311088118641145,0.030795053148746736,0.0,0.0,0.0,0.0,3.0,0,85.59951172165533
getMobileDataEnabled,11598.0,0.02621141576133816,0.32060558181109794,0.0,0.0,0.0,0.0,14.0,0,17.602587908523912
getMobileIfaces,11598.0,0.08725642352129677,8.703046065700917,0.0,0.0,0.0,0.0,937.0,0,107.60099160397127
getMode,11598.0,0.0817382307294361,0.8097721768904219,0.0,0.0,0.0,0.0,45.0,0,25.66615386922943
getNameForUid,11598.0,0.015088808415244008,0.9598456848738782,0.0,0.0,0.0,0.0,70.0,0,67.28753611594041
getNeighboringCellInfo,11598.0,0.15261251939989653,1.676261887057139,0.0,0.0,0.0,0.0,44.0,0,11.847458207010124
getNetworkInfo,11598.0,1.2841007070184514,30.960030487925234,0.0,0.0,0.0,0.0,3245.0,0,99.65658060223026
getNetworkPreference,11598.0,0.0001724435247456458,0.013131209200943513,0.0,0.0,0.0,0.0,1.0,0,76.1413142866931
getNightMode,11598.0,0.03819624073116055,0.525628353107749,0.0,0.0,0.0,0.0,28.0,0,26.480281231366757
getNumberOfCameras,11598.0,0.02612519399896534,0.46625213685224226,0.0,0.0,0.0,0.0,29.0,0,40.87034195938102
getPackageGids,11598.0,0.0018968787722021038,0.10254932276622451,0.0,0.0,0.0,0.0,7.0,0,61.20204198850639
getPackageInfo,11598.0,27.29444731850319,345.64652963844446,0.0,1.0,2.0,5.0,7639.0,0,17.834481762689435
getPackageSizeInfo,11598.0,0.05380237972064149,2.307902588598456,0.0,0.0,0.0,0.0,147.0,0,51.04583547068765
getPackagesForUid,11598.0,7.876702879806864,370.8605270733168,0.0,1.0,1.0,1.0,20004.0,0,53.826369612060525
getPassword,11598.0,8.62217623728229e-05,0.009285567423309297,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
getPermissionGroupInfo,11598.0,0.023279875840662184,2.507103204293509,0.0,0.0,0.0,0.0,270.0,0,107.6940109755414
getPermissionInfo,11598.0,0.02586652871184687,2.544731999713388,0.0,0.0,0.0,0.0,274.0,0,107.62979762189097
getPreferredActivities,11598.0,0.0006035523366097603,0.038282268031959055,0.0,0.0,0.0,0.0,3.0,0,66.053186221568
getPreferredPackages,11598.0,0.0003448870494912916,0.0185687326301791,0.0,0.0,0.0,0.0,1.0,0,53.82610650420192
getPrimaryClip,11598.0,0.0010346611484738748,0.03712945649071939,0.0,0.0,0.0,0.0,2.0,0,40.35390301179316
getProviderInfo,11598.0,0.0011208829108466977,0.03827061360454808,0.0,0.0,0.0,0.0,2.0,0,38.37773558058127
getProviderProperties,11598.0,0.0023279875840662182,0.09868373366864826,0.0,0.0,0.0,0.0,8.0,0,59.9661562173348
getProviders,11598.0,0.021900327642697018,0.4885899378225533,0.0,0.0,0.0,0.0,40.0,0,54.60524479267831
getProxy,11598.0,0.9831005345749267,0.13023142049144115,0.0,1.0,1.0,1.0,2.0,0,-7.261562945990657
getReceiverInfo,11598.0,0.21288153129849974,1.0833742228582957,0.0,0.0,0.0,0.0,19.0,0,8.4992458651523
getRingerMode,11598.0,0.08363510950163822,0.8397962456589919,0.0,0.0,0.0,0.0,45.0,0,25.626730677609036
getRingtonePlayer,11598.0,0.0007759958613554061,0.030788292381463352,0.0,0.0,0.0,0.0,2.0,0,44.25088391899212
getScanResults,11598.0,0.03345404380065529,0.7890898193725814,0.0,0.0,0.0,0.0,32.0,0,33.38760012253396
getSearchableInfo,11598.0,0.010863942058975685,0.1475946498897774,0.0,0.0,0.0,0.0,6.0,0,19.413633340467438
getSearchablesInGlobalSearch,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554123
getServiceInfo,11598.0,0.24624935333678222,2.8094113726294454,0.0,0.0,0.0,0.0,108.0,0,29.338568796102905
getSpellCheckerService,11598.0,0.09493016037247802,0.4915849508022992,0.0,0.0,0.0,0.0,19.0,0,11.150523404930201
getState,11598.0,0.002500431108811864,0.04994390877905695,0.0,0.0,0.0,0.0,1.0,0,19.925768183992915
getStorageEncryptionStatus,11598.0,0.0022417658216933953,0.1203390177095188,0.0,0.0,0.0,0.0,11.0,0,77.24612491653028
getStreamMaxVolume,11598.0,0.04974995688911881,1.5019832330602603,0.0,0.0,0.0,0.0,119.0,0,62.60650451797501
getStreamVolume,11598.0,0.5595792377996206,2.731027125747007,0.0,0.0,0.0,0.0,125.0,0,23.210895980518362
getString,11598.0,0.0022417658216933953,0.07654122720909616,0.0,0.0,0.0,0.0,4.0,0,38.37773558058127
getSubscriberId,11598.0,3.224004138644594,12.292061222576855,0.0,0.0,0.0,1.0,169.0,0,5.820264623154165
getSyncAutomatically,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
getSystemAvailableFeatures,11598.0,0.0030177616830488014,0.06081733148544395,0.0,0.0,0.0,0.0,2.0,0,22.471334051611084
getSystemSharedLibraryNames,11598.0,0.0018968787722021038,0.11890327952781873,0.0,0.0,0.0,0.0,12.0,0,90.96469373897096
getTetheredIfaces,11598.0,0.0003448870494912916,0.026262418401887026,0.0,0.0,0.0,0.0,2.0,0,76.1413142866931
getUserData,11598.0,0.0022417658216933953,0.22362448084285316,0.0,0.0,0.0,0.0,24.0,0,106.64333134433508
getUserIcon,11598.0,0.017071908949818936,0.18352882196683887,0.0,0.0,0.0,0.0,2.0,0,10.68585136335071
getUserRestrictions,11598.0,0.008535954474909468,0.8824188411221074,0.0,0.0,0.0,0.0,95.0,0,107.58795499351348
getUserSerialNumber,11598.0,0.004397309881013968,0.3642628124016444,0.0,0.0,0.0,0.0,39.0,0,105.86430744056764
getUsers,11598.0,0.01724435247456458,0.18538269590994072,0.0,0.0,0.0,0.0,3.0,0,10.712110438416174
